Player	Height	Position	Year born	Current Club
Roko-Leni Ukić	1.95	Guard	1984	Lottomatica Roma
Davor Kus	1.91	Guard	1978	Unicaja
Marko Popović	1.85	Guard	1982	Zalgiris Kaunas
Marin Rozić	2.03	Forward	1983	Cibona Zagreb
Nikola Prkačin	2.08	Forward	1975	Dynamo Moscow
Marko Tomas	1.96	Guard	1985	Alta Gestión Fuenlabrada
Zoran Planinić	1.97	Guard	1982	TAU Cerámica
Mario Stojić	1.98	Guard	1980	ViveMenorca
Damir Markota	2.09	Forward	1985	Spartak Saint Petersburg
Marko Banić	2.00	Forward	1984	Iurbentia Bilbao
Mario Kasun	2.15	Center	1980	AXA FC Barcelona
Stanko Barać	2.17	Center	1986	TAU Cerámica
