Rank	Heat	Lane	Name	Nationality	Time
1	4	4	Yana Klochkova	Ukraine	4:37.64
2	2	4	Yasuko Tajima	Japan	4:40.35
3	4	5	Kaitlin Sandeno	United States	4:40.89
4	3	5	Beatrice Căslaru	Romania	4:41.04
5	4	6	Jennifer Reilly	Australia	4:41.51
6	3	4	Joanne Malar	Canada	4:42.65
7	2	5	Nicole Hetzer	Germany	4:43.23
8	4	3	Maddy Crippen	United States	4:44.00
9	3	6	Hana Černá	Czech Republic	4:44.11
10	2	7	Oxana Verevka	Russia	4:45.07
11	2	3	Chen Yan	China	4:45.65
12	2	6	Rachel Harris	Australia	4:46.02
13	2	2	Helen Norfolk	New Zealand	4:46.42
14	3	7	Lourdes Becerra	Spain	4:47.50
15	4	7	Federica Biscia	Italy	4:47.56
16	3	2	Sabine Herbst	Germany	4:47.79
17	2	8	Mirjana Bosevska	Macedonia	4:48.08
18	4	2	Yseult Gervy	Belgium	4:48.31
19	3	3	Liu Yin	China	4:50.33
20	2	1	Artemis Dafni	Greece	4:53.52
21	1	4	Georgina Bardach	Argentina	4:54.31
22	3	1	Carolyn Adel	Suriname	4:57.90
23	4	1	Lee Ji-Hyun	South Korea	4:58.94
24	1	5	Jana Korbasová	Slovakia	4:59.05
25	4	8	Sia Wai Yen	Malaysia	4:59.18
26	3	8	Adi Bichman	Israel	5:06.72
27	1	3	Alexandra Zertsalova	Kyrgyzstan	5:09.03
28	1	6	Nguyen Thi Huong	Vietnam	5:26.56
