Year	Award	Category	Nominee	Result
2001	Tony Award	Best Revival of a Musical	Best Revival of a Musical	Nominated
2001	Tony Award	Best Performance by a Leading Actor in a Musical	Tom Hewitt	Nominated
2001	Tony Award	Best Direction of a Musical	Christopher Ashley	Nominated
2001	Tony Award	Best Costume Design	David C. Woolard	Nominated
2001	Drama Desk Award	Outstanding Revival of a Musical	Outstanding Revival of a Musical	Nominated
2001	Drama Desk Award	Outstanding Actor in a Musical	Tom Hewitt	Nominated
2001	Drama Desk Award	Outstanding Director of a Musical	Christopher Ashley	Nominated
2001	Drama Desk Award	Outstanding Choreography	Jerry Mitchell	Nominated
2001	Drama Desk Award	Outstanding Set Design of a Musical	David Rockwell	Nominated
2001	Theatre World Award	Theatre World Award	Raúl Esparza	Won
