Name	Country	Status	Moving to	Transfer fee
Solano	PER	Transferred	Released	Free
Zamora	ENG	Transferred	Fulham	£4.8m
Paintsil	GHA	Transferred	Fulham	£1.5m
Wright	ENG	Transferred	Ipswich Town	£0.5m
Ljungberg	SWE	Transferred	Released	Free
Ferdinand	ENG	Transferred	Sunderland	£8m
McCartney	NIR	Transferred	Sunderland	£6m
Blackmore	ENG	Loaned	Thurrock	N/A
Jeffery	ENG	Loaned	Leyton Orient	N/A
Payne	ENG	Loaned	Cheltenham Town	N/A
Quashie	SCO	Loaned	Birmingham City	N/A
Miller	ENG	Loaned	Bishop's Stortford	N/A
N'Gala	ENG	Loaned	MK Dons	N/A
Spence	ENG	Loaned	Leyton Orient	N/A
Reid	ENG	Loaned	Blackpool	N/A
Walker	ENG	Loaned	Colchester United	N/A
Tomkins	ENG	Loaned	Derby County	N/A
Stanislas	ENG	Loaned	Southend	N/A
Etherington	ENG	Transferred	Stoke	Undisclosed
