Name	Team	Qual 1	Qual 2	Best
Paul Tracy	Forsythe Racing	59.759	59.432	59.432
Sébastien Bourdais	Newman/Haas Racing	1:00.347	59.541	59.541
Mario Domínguez	Forsythe Racing	1:00.213	59.644	59.644
A. J. Allmendinger	RuSPORT	1:00.612	59.938	59.938
Justin Wilson	RuSPORT	1:00.697	59.962	59.962
Jimmy Vasser	PKV Racing	1:01.389	59.995	59.995
Alex Tagliani	Team Australia	1:01.257	1:00.156	1:00.156
Oriol Servià	Newman/Haas Racing	1:01.043	1:00.331	1:00.331
Cristiano da Matta	PKV Racing	1:01.214	1:00.493	1:00.493
Timo Glock	Rocketsports Racing	1:00.957	1:00.529	1:00.529
Andrew Ranger	Mi-Jack Conquest Racing	1:02.235	1:00.704	1:00.704
Ricardo Sperafico	Dale Coyne Racing	1:01.745	1:00.732	1:00.732
Rodolfo Lavín	HVM Racing	1:01.029	1:00.766	1:00.766
Björn Wirdheim	HVM Racing	1:00.980	1:00.863	1:00.863
Nelson Philippe	Mi-Jack Conquest Racing	1:01.434	1:00.915	1:00.915
Ronnie Bremer	Dale Coyne Racing	1:01.630	1:01.093	1:01.093
Ryan Hunter-Reay	Rocketsports Racing	1:01.342	1:01.438	1:01.342
Marcus Marshall	Team Australia	1:02.651	1:02.064	1:02.064
