Round	Circuit	Date	Pole Position	Fastest Lap	Winning Driver	Winning Team
1	Oulton Park	24 March	Jaime Alguersuari	John Martin	Oliver Turvey	Carlin Motorsport
2	Oulton Park	24 March	Jaime Alguersuari	Jaime Alguersuari	Jaime Alguersuari	Carlin Motorsport
3	Croft	27 April	Marcus Ericsson	Max Chilton	Sergio Pérez	T-Sport
4	Croft	27 April	Brendon Hartley	Sergio Pérez	Brendon Hartley	Carlin Motorsport
5	Monza	17 May	Matteo Chinosi	Esteban Guerrieri	Sergio Pérez	T-Sport
6	Monza	18 May	Max Chilton	Esteban Guerrieri	Sergio Pérez	T-Sport
7	Rockingham	26 May	Max Chilton	Jaime Alguersuari	Atte Mustonen	Räikkönen Robertson Racing
8	Rockingham	26 May	Jaime Alguersuari	Oliver Turvey	Sebastian Hohenthal	Fortec Motorsport
9	Snetterton	8 June	Michael Devaney	Marcus Ericsson	Michael Devaney	Ultimate Motorsport
10	Snetterton	8 June	Brendon Hartley	Jaime Alguersuari	Michael Devaney	Ultimate Motorsport
11	Thruxton	29 June	Jaime Alguersuari	Marcus Ericsson	Brendon Hartley	Carlin Motorsport
12	Thruxton	29 June	Brendon Hartley	Oliver Turvey	Brendon Hartley	Carlin Motorsport
13	Brands Hatch	13 July	Jaime Alguersuari	Jaime Alguersuari	Jaime Alguersuari	Carlin Motorsport
14	Brands Hatch	13 July	Marcus Ericsson	Marcus Ericsson	Sergio Pérez	T-Sport
15	Spa-Francorchamps	1 August	Oliver Turvey	Brendon Hartley	Oliver Turvey	Carlin Motorsport
16	Spa-Francorchamps	2 August	Oliver Turvey	Brendon Hartley	Brendon Hartley	Carlin Motorsport
17	Silverstone	16 August	Oliver Turvey	Oliver Turvey	Oliver Turvey	Carlin Motorsport
18	Silverstone	16 August	Brendon Hartley	Oliver Turvey	Oliver Turvey	Carlin Motorsport
19	Bucharest	23 August	Brendon Hartley	Marcus Ericsson	Brendon Hartley	Carlin Motorsport
20	Bucharest	24 August	Oliver Turvey	Brendon Hartley	Jaime Alguersuari	Carlin Motorsport
21	Donington Park	12 October	Jaime Alguersuari	Jaime Alguersuari	Jaime Alguersuari	Carlin Motorsport
22	Donington Park	12 October	Oliver Oakes	Brendon Hartley	Jaime Alguersuari	Carlin Motorsport
