Surname	First	D.O.B.	Bats	Throws	Position
ATHERTON	Timothy	7 June 1989	R	R	RHP
AUTY	Timothy	21 December 1985	R	R	OF
BENNETT	Matthew	19 October 1981	L	L	LHP
COX	Timothy	8 July 1986	R	L	LHP
D’ANTONIO	Trent	14 August 1985	L	R	UTILITY
DENING	Mitchell	17 August 1988	L	R	OF
EACOTT	Jarrad	2 August 1988	L	L	LHP
FERRIS	Andrew	12 December 1982	R	R	RHP
FINGLESON	Gavin	5 August 1976	S	R	IF
HILL	Josh	27 March 1983	R	R	RHP
GRATTAN	Todd	7 September 1986	R	R	RHP
HARRIS	Vaughan	10 June 1981	R	R	RHP
KINGMAN	Brendan	22 May 1973	R	R	IF
LYSAUGHT	Michael	30 September 1985	R	R	UTILITY
MAAT	Patrick	15 September 1987	R	R	C
OELTJEN	Trent	28 February 1983	L	L	OF
OXSPRING	Chris	13 May 1987	L	R	RHP
PENDER	Shannon	21 June 1986	R	R	IF
ROSSER	David	14 December 1969	R	R	RHP
SOUTHAM	Joel	26 February 1981	S	R	IF
THOMAS	Bradley	12 October 1977	R	L	LHP
WILLIAMS	Matthew	28 February 1987	R	R	RHP
