Tie no	Home team	Score	Away team	Date
1	Ashford Town (Kent)	1–3	Walsall	27 November 1974
2	Chesterfield	3–1	Boston United	23 November 1974
3	Darlington	1–0	Workington	23 November 1974
4	Dartford	2–3	Plymouth Argyle	23 November 1974
5	Hartlepool	1–0	Bradford City	23 November 1974
6	A.F.C. Bournemouth	5–0	Southwick	23 November 1974
7	Bury	4–2	Southport	23 November 1974
8	Farsley Celtic	0–2	Tranmere Rovers	23 November 1974
9	Rochdale	0–0	Marine	23 November 1974
Replay	Marine	1–2	Rochdale	27 November 1974
10	Watford	0–1	Colchester United	23 November 1974
11	Grimsby Town	1–0	Huddersfield Town	23 November 1974
12	Crewe Alexandra	2–2	Gateshead United	23 November 1974
Replay	Gateshead United	1–0	Crewe Alexandra	25 November 1974
13	Swindon Town	4–0	Reading	23 November 1974
14	Shrewsbury Town	1–1	Wigan Athletic	23 November 1974
Replay	Wigan Athletic	2–1	Shrewsbury Town	25 November 1974
15	Bishop Auckland	5–0	Morecambe	23 November 1974
16	Stockport County	0–0	Stafford Rangers	23 November 1974
Replay	Stafford Rangers	1–0	Stockport County	26 November 1974
17	Wycombe Wanderers	3–1	Cheltenham Town	23 November 1974
18	Barnsley	1–2	Halifax Town	23 November 1974
19	Brighton & Hove Albion	3–1	Aldershot	23 November 1974
20	Hitchin Town	0–0	Cambridge United	23 November 1974
Replay	Cambridge United	3–0	Hitchin Town	26 November 1974
21	Wimbledon	1–0	Bath City	23 November 1974
22	Exeter City	1–2	Newport County	23 November 1974
23	Scunthorpe United	1–1	Altrincham	23 November 1974
Replay	Altrincham	3–1	Scunthorpe United	25 November 1974
24	Blyth Spartans	1–1	Preston North End	23 November 1974
Replay	Preston North End	5–1	Blyth Spartans	26 November 1974
25	Mansfield Town	3–1	Wrexham	23 November 1974
26	Port Vale	2–2	Lincoln City	23 November 1974
Replay	Lincoln City	2–0	Port Vale	27 November 1974
27	Matlock Town	1–4	Blackburn Rovers	23 November 1974
28	Oswestry Town	1–3	Doncaster Rovers	23 November 1974
29	Torquay United	0–1	Northampton Town	23 November 1974
30	Hereford United	1–0	Gillingham	26 November 1974
31	Bishop's Stortford	0–0	Leatherhead	23 November 1974
Replay	Leatherhead	2–0	Bishop's Stortford	26 November 1974
32	Rotherham United	1–0	Chester	23 November 1974
33	Romford	0–2	Ilford	23 November 1974
34	Tooting & Mitcham United	1–2	Crystal Palace	27 November 1974
35	Peterborough United	0–0	Weymouth	23 November 1974
Replay	Weymouth	3–3	Peterborough United	4 December 1974
2nd replay	Peterborough United	3–0	Weymouth	9 December 1974
36	Chelmsford City	0–1	Charlton Athletic	23 November 1974
37	Nuneaton Borough	2–2	Maidstone United	23 November 1974
Replay	Maidstone United	2–0	Nuneaton Borough	26 November 1974
38	Slough Town	1–4	Brentford	23 November 1974
39	Swansea City	1–1	Kettering Town	26 November 1974
Replay	Kettering Town	3–1	Swansea City	2 December 1974
40	AP Leamington	1–2	Southend United	23 November 1974
