Series #	Title	Directed by	Original air date	Production code
1	"School Ties"	Arthur W. Forney	September 8, 1994	70103
2	"Pilot"	Bill Duke	September 15, 1994	83582
3	"Sins of a Father"	Arthur W. Forney	September 22, 1994	70101
4	"To Protect and Serve"	Frederick K. Keller	September 29, 1994	70106
5	"Garbage"	Gus Trikonis	October 6, 1994	70104
6	"After Shakespeare"	Bill Corcoran	October 13, 1994	70105
7	"Tasha"	Jace Alexander	October 27, 1994	70108
8	"Missing"	Anthony Hickox	November 3, 1994	70107
9	"The Friendly Neighborhood Dealer"	Reynaldo Villalobos	November 10, 1994	70102
10	"Mate"	Oz Scott	November 17, 1994	70109
11	"Eyewitness Blues"	Frederick K. Keller	November 24, 1994	70110
12	"Blondes Have More Fun"	Helaine Head	December 8, 1994	70114
13	"Los Macheteros"	Michael Lange	December 15, 1994	70111
14	"Private Enemy No. 1"	Frederick K. Keller	January 5, 1995	70113
15	"The Smoking Section"	Mick Garris	January 19, 1995	70112
16	"Knock You Out"	Mike Vejar	February 2, 1995	70116
17	"You Get No Respect"	James A. Contner	February 9, 1995	70120
18	"Innocent Bystander"	Jace Alexander	February 16, 1995	70117
19	"CAT"	Reynaldo Villalobos	February 23, 1995	70119
20	"All in the Family"	Jace Alexander	March 16, 1995	70115
21	"Eliminate the Middleman"	Michael Scott	March 30, 1995	70125
22	"Olde Tyme Religion"	William Malone	April 6, 1995	70121
23	"The Shooter"	Bill Corcoran	April 13, 1995	70122
24	"Manchild"	Frederick K. Keller	April 27, 1995	70128
25	"Downtown Girl"	Don Kurt	May 4, 1995	70129
26	"Catman Comes Back"	Frederick K. Keller	May 11, 1995	70127
