Round	Overall	Player	Position	School/Club Team
1	12	Clay Matthews	Linebacker	USC
1	23	Ozzie Newsome	Tight End	Alabama
2	39	Johnny Evans	Punter	North Carolina State
3	67	Larry Collins	Running Back	Texas A&I
3	68	Mark Miller	Quarterback	Bowling Green
4	103	Pete Pullara	Offensive Guard	Tennessee-Chattanooga
5	122	Keith Wright	Wide Receiver	Memphis St.
6	149	Al Pitts	Center	Michigan State
8	205	Jesse Turnbow	Defensive Tackle	Tennessee
9	234	Jon Kramer	Guard	Baylor
10	261	Brent Watson	Offensive Tackle	Tennessee
11	290	Larry Gillard	Defensive Tackle	Mississippi State
12	317	Leo Biedermann	Offensive Tackle	California
