Elections	Date	People who could vote	Number of votes	Participation percentage	Number of candidates	Selected President	Number of Votes	Percentage of Vote
1st election	January 25, 1980	20857391	14150902	67٫42	124	Abolhassan Banisadr	10753752	77.99
2nd election	July 24, 1981	22687017	14573803	64٫24	4	Mohammad-Ali Rajai	12770050	87.62
3rd election	October 2, 1981	22687017	16847717	74٫26	4	Ali Khamenei	15905987	94.41
4th election	August 16, 1985	25993802	14238587	54٫78	3	Ali Khamenei	12205012	85.71
5th election	July 28, 1989	30139598	16452677	54٫59	2	Akbar Hashemi Rafsanjani	15550538	94.51
6th election	June 11, 1993	33156055	16796787	50٫66	4	Akbar Hashemi Rafsanjani	10566499	62.90
7th election	May 23, 1997	36466487	29145754	79٫93	4	Mohammad Khatami	20138784	69.09
8th election	June 8, 2001	42170230	28081930	66٫67	10	Mohammad Khatami	21659053	77.12
9th election	June 17, 2005	46786418	27958931	59٫76	2	Mahmoud Ahmadinejad	17600000	62.94
10th election	June 12, 2009	46786418	39165191	85	4	Mahmoud Ahmadinejad	24527516	62.62
