State	Interview	Swimsuit	Evening Gown	Average
Alabama	8.81	8.78	8.87	8.820
Alaska	8.51	8.01	7.98	8.167
Arizona	8.98	8.28	8.49	8.583
Arkansas	8.99	8.65	8.69	8.777
California	9.18	8.12	8.36	8.553
Colorado	8.73	8.48	8.59	8.600
Connecticut	8.96	8.32	8.80	8.693
Delaware	9.07	8.63	9.12	8.940
District of Columbia	9.23	8.45	8.91	8.863
Florida	8.89	8.42	8.69	8.667
Georgia	9.49	8.51	8.88	8.960
Hawaii	9.16	8.94	9.04	9.047
Idaho	8.83	7.96	8.28	8.357
Illinois	9.44	8.64	9.11	9.063
Indiana	9.07	8.50	8.44	8.670
Iowa	9.30	8.16	8.71	8.723
Kansas	9.25	9.03	8.99	9.090
Kentucky	9.01	8.13	8.70	8.613
Louisiana	9.40	9.17	9.34	9.303
Maine	9.04	8.30	8.53	8.623
Maryland	9.08	8.62	8.66	8.787
Massachusetts	8.84	8.34	8.59	8.590
Michigan	8.91	8.38	8.46	8.583
Minnesota	9.13	9.08	9.17	9.127
Mississippi	9.11	8.49	8.66	8.753
Missouri	8.74	8.98	9.26	8.993
Montana	8.76	8.41	8.56	8.577
Nebraska	8.95	8.26	8.53	8.580
Nevada	8.84	8.50	8.63	8.657
New Hampshire	8.46	8.54	8.86	8.620
New Jersey	8.63	8.80	8.94	8.790
New Mexico	8.62	8.83	8.76	8.737
New York	9.14	9.23	9.25	9.207
North Carolina	9.36	8.88	8.98	9.073
North Dakota	8.83	7.95	8.22	8.333
Ohio	8.62	8.21	8.44	8.423
Oklahoma	8.71	8.83	8.87	8.803
Oregon	9.02	8.04	8.24	8.433
Pennsylvania	9.00	8.52	8.94	8.820
Rhode Island	8.79	8.77	8.82	8.793
South Carolina	9.68	9.30	9.40	9.460
South Dakota	8.71	8.35	8.37	8.477
Tennessee	9.20	8.82	9.26	9.093
Texas	9.36	8.87	9.23	9.153
Utah	9.18	8.30	8.69	8.723
Vermont	8.96	8.24	8.57	8.590
Virginia	9.53	9.04	9.20	9.257
Washington	8.67	8.04	8.52	8.410
West Virginia	8.95	8.52	8.94	8.803
Wisconsin	9.00	9.05	8.74	8.930
Wyoming	8.99	7.97	8.49	8.483
