Club	Premier League	Championship/First Division	League One/Second Division	League Two/Third Division
Manchester United	5 ( 2002 , 2006 , 2007 , 2008 , 2010 )	0	0	0
Arsenal	3 ( 2003 , 2004 , 2012 )	0	0	0
Liverpool	3 ( 2001 , 2009 , 2011 )	0	0	0
Chelsea	1 ( 2005 )	0	0	0
Wolverhampton Wanderers	0	2 ( 2002 , 2007 )	0	0
Watford	0	1 ( 2011 )	0	0
West Bromwich Albion	0	1 ( 2010 )	0	0
Sheffield Wednesday	0	1 ( 2009 )	0	0
Sheffield United	0	1 ( 2008 )	0	0
Reading	0	1 ( 2006 )	0	0
Preston North End	0	1 ( 2005 )	0	0
Norwich City	0	1 ( 2004 )	0	0
Portsmouth	0	1 ( 2003 )	0	0
Nottingham Forest	0	1 ( 2001 )	0	0
Huddersfield Town	0	0	1 ( 2011 )	0
Southampton	0	0	1 ( 2010 )	0
Leeds United	0	0	1 ( 2009 )	0
Southend United	0	0	1 ( 2006 )	1 ( 2005 )
Brighton & Hove Albion	0	0	1 ( 2002 )	1 ( 2001 )
Millwall	0	0	1 ( 2008 )	0
Scunthorpe United	0	0	1 ( 2007 )	0
Blackpool	0	0	1 ( 2005 )	0
Bournemouth	0	0	1 ( 2004 )	0
Cardiff City	0	0	1 ( 2003 )	0
Bristol City	0	0	1 ( 2001 )	0
Gillingham	0	0	0	1 ( 2011 )
Notts County	0	0	0	1 ( 2010 )
Brentford	0	0	0	1 ( 2009 )
Chesterfield	0	0	0	1 ( 2008 )
Swindon Town	0	0	0	1 ( 2007 )
Carlisle United	0	0	0	1 ( 2006 )
Northampton Town	0	0	0	1 ( 2004 )
Swansea City	0	0	0	1 ( 2003 )
Luton Town	0	0	0	1 ( 2002 )
