Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Cefneithin RFC	20	17	1	2	626	179	88	18	10	2	82
Milford Haven RFC	20	16	1	3	566	193	85	21	9	2	77
Furnace United RFC	20	15	0	5	608	234	94	32	13	3	76
Aberaeron RFC	20	12	1	7	396	208	59	25	8	4	62
St. Clears RFC	20	11	1	8	448	264	56	38	6	4	56
Neyland RFC	20	11	0	9	450	248	67	28	6	3	53
Fishguard and Goodwick RFC	20	11	0	9	368	315	48	41	4	3	51
Pontyates RFC	19	6	0	13	219	435	26	63	3	1	28
Llangwm RFC	20	3	1	16	150	598	14	91	0	3	17
St. Davids RFC	19	2	1	16	176	510	23	74	1	3	14
Swansea Uplands RFC	20	2	0	18	97	920	12	141	0	0	8
