Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
W212CA	90.3 FM	Bay Minette, Alabama	27	D	FCC
W214BW	90.7 FM	Citronelle, Alabama	13	D	FCC
W227AP	93.3 FM	Lucedale, Mississippi	1	D	FCC
W279AT	103.7 FM	Robertsdale, Alabama	25	D	FCC
W295AJ	106.9 FM	Jackson, Alabama	55	D	FCC
W295AP	106.9 FM	Bay Minette, Alabama	4	D	FCC
W221CD	92.1 FM	Brewton, Alabama	17	D	FCC
W237BE	95.3 FM	Brewton, Alabama	2	D	FCC
W258AQ	99.5 FM	Citronelle, Alabama	13	D	FCC
W262BL	100.3 FM	Gulf Shores, Alabama	1	D	FCC
W278AP	103.5 FM	Daphne, Alabama	25	D	FCC
