Day: (see Irregularities )	Sunday Sōl (Sun)	Monday Luna (Moon)	Tuesday Mars (Mars)	Wednesday Mercurius (Mercury)	Thursday Iuppiter (Jupiter)	Friday Venus (Venus)	Saturday Saturnus ( Saturn)
Ancient Greek	ἡμέρα Ἡλίου hêméra Hêlíou	ἡμέρα Σελήνης hêméra Selếnês	ἡμέρα Ἄρεως hêméra Áreôs	ἡμέρα Ἑρμοῦ hêméra Hermoú	ἡμέρα Διός hêméra Diós	ἡμέρα Ἀφροδίτης hêméra Aphrodítês	ἡμέρα Κρόνου hêméra Krónou
Latin	dies Sōlis	dies Lūnae	dies Martis	dies Mercuriī	dies Jovis	dies Veneris	dies Saturnī
Italian	domenica [☉1 ]	lunedì	martedì	mercoledì	giovedì	venerdì	sabato [♄1 ]
Old Portuguese	domingo [☉1 ]	lues	martes	mércores	joves	vernes	sábado [♄1 ]
Portuguese	domingo [☉1 ]	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado [♄1 ]
Spanish	domingo [☉1 ]	lunes	martes	miércoles	jueves	viernes	sábado [♄1 ]
Romanian	duminică [☉1 ]	luni	marţi	miercuri	joi	vineri	sâmbătă [♄1 ]
French	dimanche [☉1 ]	lundi	mardi	mercredi	jeudi	vendredi	samedi [♄1 ]
Galician	domingo [☉1 ]	luns	martes	mércores	xoves	venres	sábado [♄1 ]
Catalan	diumenge [☉1 ]	dilluns	dimarts	dimecres	dijous	divendres	dissabte [♄1 ]
Asturian	domingu [☉1 ]	llunes	martes	miércoles	xueves	vienres	sábadu [♄1 ]
Friulian	domenie [☉1 ]	lunis	martars	miercus	joibe	vinars	sabide [♄1 ]
Neapolitan	Dummeneca	Lunnerì	Marterì	Miercurì	Gioverì	Viernarì	Sàbbatu
Sardinian	dominiga [☉1 ]	lunis	martis	mercuris	giobia	chenabura	sappadu [♄1 ]
Interlingua	Dominica [☉1 ]	Lunedi	Martedi	Mercuridi	Jovedi	Venerdi	Sabbato [♄1 ]
Ido	Sundio	Lundio	Mardio	Merkurdio	Jovdio	Venerdio	Saturdio
Esperanto	dimanĉo [☉1 ]	lundo	mardo	merkredo	ĵaŭdo	vendredo	sabato [♄1 ]
Irish	An Domhnach [☉1 ] Dé Domhnaigh	An Luan Dé Luain	An Mháirt Dé Máirt	An Chéadaoin [☿2 ] Dé Céadaoin	An Déardaoin [♃1 ] Déardaoin	An Aoine [♀1 ] Dé hAoine	An Satharn Dé Sathairn
Scottish Gaelic	Di-Dòmhnaich/Didòmhnaich [☉1 ]	Di-Luain/Diluain	Di-Màirt/Dimàirt	Di-Ciadain/Diciadain [☿2 ]	Di-Ardaoin/Diardaoin [♃1 ]	Di-Haoine/Dihaoine [♀1 ]	Di-Sàthairne/Disathairne
Welsh	dydd Sul	dydd Llun	dydd Mawrth	dydd Mercher	dydd Iau	dydd Gwener	dydd Sadwrn
Cornish	Dy' Sul	Dy' Lun	Dy' Meurth	Dy' Mergher	Dy' Yow	Dy' Gwener	Dy' Sadorn
Breton	Disul	Dilun	Dimeurzh	Dimerc’her	Diriaou	Digwener	Disadorn
Manx	Jedoonee [☉1 ]	Jelune	Jemayrt	Jecrean	Jerdrein	Jeheiney	Jesarn
