Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	24	43:09.599	4
Casey Stoner	Ducati	24	+1.943	2
Dani Pedrosa	Honda	24	+4.866	5
Jorge Lorenzo	Yamaha	24	+6.165	1
Nicky Hayden	Honda	24	+24.593	3
Loris Capirossi	Suzuki	24	+25.685	6
Colin Edwards	Yamaha	24	+25.918	7
Shinya Nakano	Honda	24	+26.003	9
Andrea Dovizioso	Honda	24	+26.219	13
John Hopkins	Kawasaki	24	+37.131	11
James Toseland	Yamaha	24	+37.574	10
Randy de Puniet	Honda	24	+38.020	8
Marco Melandri	Ducati	24	+39.768	16
Sylvain Guintoli	Ducati	24	+45.846	15
Anthony West	Kawasaki	24	+55.748	17
Toni Elias	Ducati	24	+59.320	14
Alex de Angelis	Honda	24	+1:12.398	18
Chris Vermeulen	Suzuki	16	Retirement	12
Kousuke Akiyoshi	Suzuki	0	Accident	19
