Place	Player	Country	Score	To par	Money ( $ )
T1	Lee Trevino	United States	70-72-69-69=280	E	Playoff
T1	Jack Nicklaus	United States	69-72-68-71=280	E	Playoff
T3	Jim Colbert	United States	69-69-73-71=282	+2	9,000
T3	Bob Rosburg	United States	71-72-70-69=282	+2	9,000
T5	George Archer	United States	71-70-70-72=283	+3	6,500
T5	Johnny Miller	United States	70-73-70-70=283	+3	6,500
T5	Jim Simons (a)	United States	71-71-65-76=283	+3	0
8	Raymond Floyd	United States	71-75-67-71=284	+4	5,000
T9	Gay Brewer	United States	70-70-73-72=285	+5	3,325
T9	Larry Hinson	United States	71-71-70-73=285	+5	3,325
T9	Bobby Nichols	United States	69-72-69-75=285	+5	3,325
T9	Bert Yancey	United States	75-69-69-72=285	+5	3,325
