Player	Position	Date of Birth (Age)	Caps	Club/province
Gary Botha	Hooker	12 October 1981	9	Harlequins
Bismarck du Plessis	Hooker	22 May 1984	2	Sharks
John Smit ( c )	Hooker	3 April 1978	67	Clermont Auvergne
BJ Botha	Prop	4 January 1980	10	Sharks
Jannie du Plessis	Prop	16 November 1982	2	Cheetahs
Os du Randt	Prop	8 September 1972	72	Cheetahs
Gurthro Steenkamp	Prop	12 June 1981	11	Bulls
CJ van der Linde	Prop	27 August 1980	39	Cheetahs
Bakkies Botha	Lock	22 September 1979	35	Bulls
Victor Matfield	Lock	11 May 1977	58	Toulon
Johann Muller	Lock	6 January 1980	16	Sharks
Albert van den Berg	Lock	26 January 1974	46	Sharks
Schalk Burger	Flanker	13 April 1983	31	Stormers
Juan Smith	Flanker	30 July 1981	32	Cheetahs
Wikus van Heerden	Flanker	28 February 1979	7	Bulls
Danie Rossouw	Number 8	6 May 1978	24	Bulls
Bobby Skinstad	Number 8	3 July 1976	38	Sharks
Fourie du Preez	Scrum-half	24 March 1982	30	Bulls
Ricky Januarie	Scrum-half	1 February 1982	18	Stormers
Ruan Pienaar	Scrum-half	10 March 1984	12	Sharks
Butch James	Fly-half	8 January 1979	18	Bath
André Pretorius	Fly-half	29 December 1978	24	Lions
Jean de Villiers	Centre	24 February 1981	31	Stormers
Jaque Fourie	Centre	4 March 1983	29	Lions
Wayne Julies	Centre	23 October 1978	10	Bulls
Wynand Olivier	Centre	11 June 1983	17	Bulls
Francois Steyn	Centre	14 May 1987	8	Sharks
Bryan Habana	Wing	12 June 1983	27	Bulls
Akona Ndungane	Wing	20 February 1981	8	Bulls
JP Pietersen	Wing	12 July 1986	6	Sharks
Ashwin Willemse	Wing	8 September 1981	16	Biarritz
Percy Montgomery	Fullback	15 March 1974	85	Sharks
