Year Location	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles
2012 Kobe	Jun Mizutani	Shen Yanfei	Kim Min-Seok Seo Hyun-Deok	Hiroko Fujii Misako Wakamiya
2011 Kobe	Seiya Kishikawa	Feng Tianwei	Lin Gaoyuan Wu Jiaji	Hiroko Fujii Misako Wakamiya
2010 Kobe	Timo Boll	Wang Yuegu	Kenta Matsudaira Koki Niwa	Yuka Ishigaki Yuri Yamanashi
2009 Wakayama	Oh Sang-Eun	Park Mi-Young	Seiya Kishikawa Jun Mizutani	Sayaka Hirano Reiko Hiura
2008 Yokohama	Ma Lin	Zhang Yining	China	China
2007 Chiba	Wang Hao	Wang Nan	Chen Qi Wang Liqin	Guo Yue Li Xiaoxia
2006 Yokohama	Wang Liqin	Wang Yuegu	Ma Lin Wang Hao	Tie Yana Zhang Rui
2005 Yokohama	Timo Boll	Zhang Yining	Timo Boll Christian Süß	Bai Yang Cao Zhen
2004 Kobe	Chen Qi	Zhang Yining	Wang Liqin Yan Sen	Guo Yue Niu Jianfeng
2003 Kobe	Timo Boll	Guo Yue	Chen Qi Ma Lin	Guo Yue Niu Jianfeng
2002 Kobe	Kalinikos Kreanga	Kim Kyung-Ah	Akira Kito Toshio Tasaki	Jing Junhong Li Jiawei
2001 Yokohama	Chiang Peng-Lung	Wang Nan	Ma Lin Wang Hao	Kim Bok-Rae Kim Kyung-Ah
2000 Kobe	Wang Liqin	Wang Nan	Kong Linghui Liu Guoliang	Sun Jin Yang Ying
1999 Kobe	Vladimir Samsonov	Wang Nan	Ma Lin Qin Zhijian	Sun Jin Yang Ying
1998 Wakayama	Kong Linghui	Li Ju	Ma Lin Wang Tao	Li Ju Wang Nan
1997 Chiba	Jan-Ove Waldner	Wang Chen	Wang Liqin Yan Sen	Lee Eun-Sil Ryu Ji-Hae
