Week	Date	Opponent	Result	Attendance
1	September 12, 1999	San Francisco 49ers	W 41–3	68,678
2	September 19, 1999	at Carolina Panthers	W 22–20	64,261
3	September 26, 1999	Tennessee Titans	L 20–19	61,502
4	October 3, 1999	at Pittsburgh Steelers	W 17–3	57,308
5	October 11, 1999	at New York Jets	W 16–6	78,216
6	October 17, 1999	Cleveland Browns	W 24–7	62,047
7	Bye	Bye	Bye	Bye
8	October 31, 1999	at Cincinnati Bengals	W 41–10	49,138
9	November 7, 1999	at Atlanta Falcons	W 30–7	68,466
10	November 14, 1999	Baltimore Ravens	W 6–3	67,391
11	November 21, 1999	New Orleans Saints	W 41–23	69,772
12	November 28, 1999	at Baltimore Ravens	W 30–23	68,428
13	December 2, 1999	Pittsburgh Steelers	W 20–6	68,806
14	December 13, 1999	Denver Broncos	W 27–24	71,357
15	December 19, 1999	at Cleveland Browns	W 24–14	72,038
16	December 26, 1999	at Tennessee Titans	L 41–14	66,641
17	January 2, 2000	Cincinnati Bengals	W 24–7	70,532
