Year	Place	Event	Performance	Age (years)
2013	1st	Hammer throw	60.73m	45
2012	1st	Hammer throw	60.65m	44
2011	1st	Hammer throw	59.04m	43
2010	1st	Hammer throw	62.53m	42
2009	1st	Hammer throw	58.90m	41
2008	1st	Hammer throw	60.37m	40
2007	1st	Hammer throw	62.20m	39
2006	1st	Hammer throw	65.85m	38
2005	1st	Hammer throw	65.72m	37
2004	1st	Hammer throw	68.14m	36
2003	1st	Hammer throw	69.52m	35
2002	1st	Hammer throw	65.65m	34
2001	1st	Hammer throw	62.80m	33
2000	1st	Hammer throw	69.19m	32
1999	1st	Hammer throw	69.16m	31
1998	1st	Hammer throw	70.88m	30
1997	3rd	Hammer throw	65.22m	29
1996	1st	Hammer throw	64.68m	28
1995	1st	Hammer throw	62.08m	27
1990	2nd	Hammer throw	66.12m	22
1989	2nd	Hammer throw	63.80m	21
1988	1st	Hammer throw	64.02m	20
