Place	Player	Country	Score	To par	Money ( $ )
T1	Tiger Woods	United States	66-67-70-67=270	–18	Playoff
T1	Bob May	United States	72-66-66-66=270	–18	Playoff
3	Thomas Bjørn	Denmark	72-68-67-68=275	–13	340,000
T4	Stuart Appleby	Australia	70-69-68-69=276	–12	198,667
T4	Greg Chalmers	Australia	71-69-66-70=276	–12	198,667
T4	José María Olazábal	Spain	76-68-63-69=276	–12	198,667
7	Franklin Langham	United States	72-71-65-69=277	–11	157,000
8	Notah Begay III	United States	72-66-70-70=278	–10	145,000
T9	Darren Clarke	Northern Ireland	68-72-72-67=279	–9	112,500
T9	Scott Dunlap	United States	66-68-70-75=279	–9	112,500
T9	Fred Funk	United States	69-68-74-68=279	–9	112,500
T9	Davis Love III	United States	68-69-72-70=279	–9	112,500
T9	Phil Mickelson	United States	70-70-69-70=279	–9	112,500
T9	Tom Watson	United States	76-70-65-68=279	–9	112,500
