Date	Course	Distance	Type	Winner
10 May	Palermo	km (mi)	Team time trial	Slipstream-Chipotle
11 May	Cefalù to Agrigento	km (mi)	Intermediate stage	Riccardo Riccò ( ITA )
12 May	Catania to Milazzo	km (mi)	Flat stage	Daniele Bennati ( ITA )
13 May	Pizzo Calabro to Catanzaro-Lungomare	km (mi)	Flat stage	Mark Cavendish ( GBR )
14 May	Belvedere Marittimo to Contursi Terme	km (mi)	Intermediate stage	Pavel Brutt ( RUS )
15 May	Potenza to Peschici	km (mi)	Intermediate stage	Matteo Priamo ( ITA )
16 May	Vasto to Pescocostanzo	km (mi)	Intermediate stage	Gabriele Bosisio ( ITA )
17 May	Rivisondoli to Tivoli	km (mi)	Intermediate stage	Riccardo Riccò ( ITA )
18 May	Civitavecchia to San Vincenzo	km (mi)	Flat stage	Daniele Bennati ( ITA )
19 May	Rest day	Rest day	Rest day	Rest day
20 May	Pesaro to Urbino	km (mi)	Individual time trial	Marzio Bruseghin ( ITA )
21 May	Urbania to Cesena	km (mi)	Intermediate stage	Alessandro Bertolini ( ITA )
22 May	Forlì to Carpi	km (mi)	Flat stage	Daniele Bennati ( ITA )
23 May	Modena to Cittadella	km (mi)	Flat stage	Mark Cavendish ( GBR )
24 May	Verona to Alpe di Pampeago	km (mi)	Mountain stage	Emanuele Sella ( ITA )
25 May	Arabba to Passo Fedaia	km (mi)	Mountain stage	Emanuele Sella ( ITA )
26 May	San Vigilio di Marebbe to Plan de Corones	km (mi)	Individual time trial	Franco Pellizotti ( ITA )
27 May	Rest day	Rest day	Rest day	Rest day
28 May	Sondrio to Locarno ( Switzerland )	km (mi)	Flat stage	André Greipel ( GER )
29 May	Mendrisio (Switzerland) to Varese	km (mi)	Intermediate stage	Jens Voigt ( GER )
30 May	Legnano to Presolana	km (mi)	Mountain stage	Vasil Kiryienka ( BLR )
31 May	Rovetta to Tirano	km (mi)	Mountain stage	Emanuele Sella ( ITA )
1 June	Milan	km (mi)	Individual time trial	Marco Pinotti ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
