Date	Tournament	Surface	Opponent in the final	Score
19 November 2002	Berri	Grass	Paul Baccanello	6–2, 6–2
2 May 2005	Phuket	Hard	Patrick Schmolzer	6–1, 6–1
16 May 2005	Phuket	Hard	Phillip King	6–3, 6–1
30 May 2005	Maspalomas	Clay	Ignasi Villacampa	6–1, 6–2
12 September 2006	Hope Island	Hard	Robert Smeets	6–3, 7–6
24 October 2006	Mildura	Grass	Samuel Groth	3–6, 7–5, 6–4
31 October 2006	Berri	Grass	Shannon Nettle	6–4, 6–3
20 March 2007	Lyneham	Clay	Vasilis Mazarakis	3–6, 6–1, 6–3
10 July 2007	Felixstowe	Grass	Nicolas Tourte	6–3, 6–4
23 July 2007	Nottingham	Grass	Aisam-ul-Haq Qureshi	6–3, 4–6, 6–4
9 December 2007	Burnie	Hard	Rameez Junaid	6–0, 6–1
