Grid	Constructor	Qual	Rank	Laps	Time/Retired
2	Kurtis Kraft - Offenhauser	135.03	5	200	3:57:38.05
7	Kurtis Kraft - Offenhauser	132.18	26	200	+ 1:47.24
3	Kurtis Kraft - Offenhauser	134.3	8	200	+ 2:51.39
31	Sherman - Offenhauser	132.22	25	200	+ 4:40.12
29	Schroeder - Offenhauser	134.09	9	200	+ 4:52.23
17	Moore - Offenhauser	133.89	12	200	+ 5:40.02
24	Kurtis Kraft - Offenhauser	132.89	22	193	+ 7 Laps
4	Deidt - Offenhauser	133.74	15	180	+ 20 Laps
9	Deidt - Offenhauser	131.95	29	178	Spun Off
1	Kurtis Kraft - Novi	136.49	2	151	Retirement
22	Kurtis Kraft - Offenhauser	133.1	20	142	Engine
12	Kurtis Kraft - Offenhauser	132.99	21	135	Engine
16	Kurtis Kraft - Offenhauser	134.03	11	129	Engine
5	Deidt - Offenhauser	133.42	18	126	Accident
14	Kuzma - Offenhauser	136.87	1	123	Engine
27	Pawl - Offenhauser	133.51	17	110	Axle
11	Kurtis Kraft - Offenhauser	135.02	6	109	Clutch
15	Kurtis Kraft - Offenhauser	135.61	4	93	Fire
33	Hall - Offenhauser	131.47	32	97	Clutch
19	Marchese - Offenhauser	133.76	14	93	Fire
8	Kurtis Kraft - Offenhauser	132.15	27	87	Magneto
10	Kurtis Kraft - Offenhauser	131.89	31	80	Engine
6	Kurtis Kraft - Offenhauser	132.31	24	78	Engine
32	Schroeder - Offenhauser	131.97	28	73	Overheating
28	Kurtis Kraft - Novi	135.79	3	56	Ignition
13	Kurtis Kraft - Offenhauser	131.9	30	55	Magneto
25	Bromme - Offenhauser	134.86	7	34	Oil Pipe
18	Kurtis Kraft - Offenhauser	133.83	13	30	Axle
20	Trevis - Offenhauser	133.72	16	29	Oil leak
21	Lesovsky - Offenhauser	133.35	19	29	Transmission
23	Deidt - Offenhauser	123.92	33	18	Engine
26	Maserati - Offenhauser	132.47	23	15	Fuel leak
30	Watson - Offenhauser	134.09	10	8	Transmission
