Name	Pennant number	Ordered	Builder	Commissioned
Redoutable	Q136	1924	Arsenal de Cherbourg	24 February 1928
Vengeur	Q137	1924	Arsenal de Cherbourg	1 September 1928
Archimède	Q142	1925	CNF , Caen	6 September 1930
Fresnel	Q143	1925	AC St Nazaire-Penhoet	8 June 1929
Henri Poincaré	Q140	1925	Arsenal de Lorient	10 April 1929
Monge	Q144	1925	FC Mediterranee , La Seyne	25 June 1929
Pascal	Q138	1925	Arsenal de Brest	19 July 1928
Pasteur	Q139	1925	Arsenal de Brest	19 July 1928
Poncelet	Q141	1925	Arsenal de Lorient	10 April 1929
Achille	Q147	1926	Arsenal de Brest	28 May 1930
Ajax	Q148	1926	Arsenal de Brest	28 May 1930
Actéon	Q149	1926	AC Loire , Nantes	10 April 1929
Achéron	Q150	1926	AC Loire, Nantes	6 August 1929
Argo	Q151	1926	AC Dubigeon , Nantes	11 April 1929
Protée	Q155	1927	FC Med. La Seyne	31 July 1930
Pégase	Q156	1927	AC Loire, Nantes	28 July 1930
Persée	Q154	1927	CNF	23 May 1931
Phénix	Q157	1927	AC Dubigeon	12 April 1930
Prométhée	Q153	1927	Arsenal de Cherbourg	1930
