Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Atlanta	4 – 6	Ottawa	Emery	18,538	10–1–0
November 3	Boston	2 – 3	Ottawa	Gerber	19,939	11–1–0
November 4	Ottawa	2 – 1	Boston	Gerber	10,087	12–1–0
November 6	Toronto	1 – 5	Ottawa	Gerber	19,613	13–1–0
November 8	Washington	4 – 1	Ottawa	Emery	19,666	13–2–0
November 10	Montreal	1 – 3	Ottawa	Gerber	20,065	14–2–0
November 15	Buffalo	2 – 3	Ottawa	Gerber	19,279	15–2–0
November 17	Ottawa	0 – 3	Toronto	Gerber	19,596	15–3–0
November 19	Ottawa	4 – 2	Montreal	Gerber	21,273	16–3–0
November 21	Ottawa	2 – 4	Buffalo	Emery	18,690	16–4–0
November 22	Pittsburgh	6 – 5	Ottawa	Gerber	20,061	16–4–1
November 24	Philadelphia	4 – 3	Ottawa	Emery	20,128	16–5–1
November 28	Ottawa	2 – 3	NY Islanders	Emery	9,211	16–5–2
November 29	Nashville	6 – 5	Ottawa	Emery	19,538	16–6–2
