Class	Date	Race	Driver	Position	Team
World Championship F2	9/1952	23rd Gran Premio d´Italia	José Froilán González	2	Officine Alfieri Maserati
World Championship F2	1/1953	1st Gran Premio de la Rep. Argentina	José Froilán González	3	Officine Alfieri Maserati
World Championship F2	6/1953	4th Grote Prijs van Nederland	Felice Bonetto	3	Officine Alfieri Maserati
World Championship F2	6/1953	15th Grand Prix de Belgique	Onofre Marimón	3	Officine Alfieri Maserati
World Championship F2	7/1953	11th Grand Prix de l´ACF	Juan Manuel Fangio	2	Officine Alfieri Maserati
World Championship F2	7/1953	11th Grand Prix de l´ACF	José Froilán González	3	Officine Alfieri Maserati
World Championship F2	7/1953	6 RAC British Grand Prix	Juan Manuel Fangio	2	Officine Alfieri Maserati
World Championship F2	8/1953	16th Grosser Preis von Deutschland	Juan Manuel Fangio	2	Officine Alfieri Maserati
World Championship F2	9/1953	24th Gran Premio d´Italia	Juan Manuel Fangio	1	Officine Alfieri Maserati
Non-championship F2	9/1952	3rd Gran Premio di Modena	José Froilán González	2	Officine Alfieri Maserati
Non-championship F2	3/1953	3rd Gran Premio di Siracusa	Emmanuel de Graffenried	1	Enrico Platé
Non-championship F2	4/1953	5th Lavant Cup Goodwood	Emmanuel de Graffenried	1	Privateer
Non-championship F2	5/1953	6th Gran Premio di Napoli	Juan Manuel Fangio	2	Officine Alfieri Maserati
Non-championship F2	5/1953	6th Gran Premio di Napoli	José Froilán González	3	Officine Alfieri Maserati
Non-championship F2	5/1953	17th Internationales ADAC Eifelrennen	Emmanuel de Graffenried	1	Privateer
Non-championship F2	9/1953	4th Gran Premio di Modena	Juan Manuel Fangio	1	Officine Alfieri Maserati
Non-championship F2	9/1953	4th Gran Premio di Modena	Onofre Marimón	2	Officine Alfieri Maserati
Non-championship F2	9/1953	4th Gran Premio di Modena	Emmanuel de Graffenried	3	Officine Alfieri Maserati
(Non-championship) F2	6/1954	24th Grand Prix des Frontiéres	Prince Bira	1	Privateer
Non-championship F1	1/1954	11th Gran Premio Ciudad de Buenos Aires	Roberto Miéres	2	Privateer
Non-championship F1	4/1954	15th Grand Prix Automobile de Pau	Roberto Miéres	3	Officine Alfieri Maserati
Non-championship F1	6/1954	13th Gran Premio di Roma	Harry Schell	2	Privateer
Non-championship F1	8/1954	23rd Circuito di Pescara	Harry Schell	3	Privateer
