Animal Name	Species	Books	TV Series	Gender	TV Seasons	Mate	Offspring	First Appearance	Last Appearance
Whisper	Fox	Yes	Yes	Female	2,3	Bold	Plucky (TV), Husky and Multiple Unnamed (Books)	Shadows (2x10)	Bully, Bully, Bully (3x13)
Shadow	Badger	Yes (though she never went to White Deer Park)	Yes	Female	2,3	Hurkel (TV) Unnamed (books)	Three unnamed cubs	Like Father, Like Son (2x08)	Bully, Bully, Bully (3x13)
Rollo	English Mastiff / St. Bernard	Yes	Yes	Male	2,3	N/A	N/A	Time of Reckoning (2x11)	Bully, Bully, Bully (3x13)
Hollow/Holly	Owl	Yes	Yes	Male (TV) Female (books)	3	Tawny Owl (Owl)	Three unnamed owlets	The Long Tailed Visitor (3x07)	Bully, Bully, Bully (3x13)
Robber	Crow	Yes	Yes (as Crow)	Male	2	N/A	N/A	Like Father, Like Son (2x08)	Reconciliation (2x13)
Moth-Eaten Rook	Rook	No	Yes	Male	3	Yes (unnamed)	Yes (unnamed)	Water, Water (3x03)	Adventure for the Birds (3x06)
Jack	Dog	Yes	Yes (as Bruno)	Male	1	N/A	N/A	False Haven (1x04)	Snare for the unwary (1x05)
The Butcher Bird	Shrike	Yes	Yes (as a Shrike)	Male	1	N/A	N/A	New Friends, Old Enemies (1x07)	Friend in need (1x08)
Tom Griggs	Human	Yes	Yes	Male	1	Betsy Griggs	Unknown	False Haven (1x04)	Snare for the Unwary (1x05)
The Rooks	Rooks	Yes	Yes	Both	1	Unmentioned	Unmentioned	Snare for the Unworry (1x05)	Snare for the Unworry (1x05)
The Hunting Master	Human	Yes	Yes	Male	1	N/A	N/A	Friend in Need (1x08)	Between Two Evils (1x10)
Tom	Cat	Yes	Yes	Male	1	N/A	N/A	New Friends, Old Enemies (1x07)	New Friends, Old Enemies (1x07)
I'll Never Be Sausages	Pig	No	Yes	Male	3	N/A	N/A	Scared By Silly Snakes (3x08)	The Worst Kind of Hurricane (3x11)
The Poachers	Humans	Yes	Yes	Male	2	N/A	N/A	New Enemies (2x04)	A Joke Backfires (2x05)
The Wild Boar	Boar	No	Yes	Male	3	Unnamed female Boar	I'll Never Be Sausages (adopted)	A Bigger Oink (3x09)	A Bigger Oink (3x09)
The Wildcats	Wildcats	No	Yes	Both	3	Multiple Pairs	N/A	Tiffs and Tempers (3x05)	The Long Tailed Visitor (3x07)
Thrush	Thrush	Yes	Yes	Female	1	Unnamed	3 Babies	Friend in Need (1x08)	Friend in Need (1x08)
The Big Owl	Owl	Yes	Yes	Male	1	N/A	N/A	Who Shall Wear the Crown? (1x06)	Friend in Need (1x08)
The Games Keeper	Human	Yes	Yes	Male	2	N/A	N/A	Like Father, Like Son (2x08)	Narrow Escapes (2x09)
The Terrapins	Terrapins	No	Yes	Both	3	N/A	N/A	The Long Tailed Visitor (3x07)	The Long Tailed Visitor (3x07)
The Firemen	Humans	Yes	Yes	Male	1	N/A	N/A	Through the Fire and Water (1x03)	Through the Fire and Water (1x03)
