Province	Population	Region	Name of City	Districts
Lima	7605742	Lima	Lima	43
Constitutional Province of Callao	876877	Callao	Callao	6
Arequipa	864250	Arequipa	Arequipa	29
Trujillo	811979	La Libertad	Trujillo	11
Chiclayo	757452	Lambayeque	Chiclayo	20
Piura	665991	Piura	Piura	9
Maynas	492992	Loreto	Iquitos	13
Huancayo	466436	Junín	Huancayo	28
Santa	396434	Ancash	Chimbote	9
Cusco	367791	Cusco	Cusco	8
Coronel Portillo	333890	Ucayali	Pucallpa	7
Ica	321332	Ica	Ica	14
Cajamarca	316152	Cajamarca	Cajamarca	12
Sullana	287680	Piura	Sullana	8
Huánuco	270233	Huánuco	Huánuco	11
Tacna	262731	Tacna	Tacna	10
Lambayeque	258747	Lambayeque	Lambayeque	12
San Román	240776	Puno	Juliaca	4
Puno	229236	Puno	Puno	15
