Episode #	Title	Director	Screenwriter	Original airdate	English airdate
1	"First move" "Fāsuto mūvu" (ファースト·ムーヴ)	Daisuke Chiba	Koichi Chigira	April 7, 2003	March 8, 2004
2	"Luft Vanship" "Rufuto Vanshippu" (ルフト·ヴァンシップ)	Asumi Matsumura	Koichi Chigira	April 14, 2003	March 8, 2004
3	"Transpose" "Toransupōzu" (トランスポーズ)	Hiroyuki Tsuchiya	Shūichi Kamiyama	April 21, 2003	March 9, 2004
4	"Zugzwang" "Tsūku tsuwangu" (ツーク·ツワング)	Daisuke Chiba	Tomohiro Yamashita	April 28, 2003	March 9, 2004
5	"Positional play" "Pojishonaru purei" (ポジショナル·プレイ)	Tōru Yoshida	Atsuhiro Tomioka	May 5, 2003	March 10, 2004
6	"Arbiter attack" "Ābitā atakku" (アービター·アタック)	Hirotaka Endō	Atsuhiro Tomioka	May 12, 2003	March 10, 2004
8	"Takeback" "Tēkubakku" (テークバック)	Sumio Watanabe	Tomohiro Yamashita	May 26, 2003	March 11, 2004
10	"Swindle" "Suindoru" (スウィンドル)	Shinichirō Aoki	Atsuhiro Tomioka	June 9, 2003	March 12, 2004
11	"Develop" "Diberoppu" (ディベロップ)	Katsuhito Akiyama	Shūichi Kamiyama	June 16, 2003	March 13, 2004
13	"Isolated pawn" "Aisoreiteddo pōn" (アイソレイテッド·ポーン)	Hirotaka Endō	Koichi Chigira	June 30, 2003	March 14, 2004
14	"Étude Lavie" "Eteyūdo Ravi" (エテュード·ラヴィ)	Makoto Sokuza	Tomohiro Yamashita	July 7, 2003	December 6, 2004
15	"Fairy chess" "Fearī chesu" (フェアリー·チェス)	Asumi Matsumura	Atsuhiro Tomioka	July 14, 2003	December 7, 2004
16	"Breakthrough" "Burēku surū" (ブレーク·スルー)	Hiroyuki Ochi	Shūichi Kamiyama	July 21, 2003	December 8, 2004
20	"Grand Stream" "Gurandosutorīmu" (グランドストリーム)	Yasunori Urata	Koichi Chigira	August 18, 2003	December 14, 2004
21	"Rook Dio" "Rūku Dīo" (ルーク·ディーオ)	Yasunori Urata Tōru Yoshida	Koichi Chigira	August 25, 2003	December 15, 2004
22	"Queen Delphine" "Kuīn Derufīne" (クイーン·デルフィーネ)	Katsuhito Akiyama Yoshihiko Iwata	Atsuhiro Tomioka	September 1, 2003	December 16, 2004
24	"Sealed move" "Shīrudo mūbu" (シールド·ムーブ)	Shin Matsuo	Koichi Chigira	September 15, 2003	December 20, 2004
25	"Quiet move" "Kuwaietto mūbu" (クワイエット·ムーブ)	Ei Aoki	Atsuhiro Tomioka	September 22, 2003	December 21, 2004
