Res.	Record	Opponent	Method	Event	Location
Loss	6–4–1	KJ Noons	Decision (unanimous)	DREAM.13	Yokohama , Japan
Loss	6–3–1	Katsunori Kikuno	TKO (punches)	DREAM.10	Saitama, Saitama , Japan
Loss	6–2–1	Eddie Alvarez	TKO (punches)	DREAM.1	Saitama, Saitama , Japan
Loss	6–1–1	Gesias Cavalcante	Submission (armbar)	Hero's 10	Yokohama , Japan
Win	6–0–1	Caol Uno	Decision (unanimous)	Hero's 10	Yokohama , Japan
Win	5–0–1	Artur Oumakhanov	TKO (punches)	Hero's 9	Yokohama , Japan
Win	4–0–1	Hiroyuki Takaya	TKO (broken nose)	Hero's 8	Nagoya , Japan
Win	3–0–1	Felipe Borges	TKO	Storm Samurai 12	Curitiba , Brazil
Draw	2–0–1	Claudio Mattos	Draw	Storm Samurai 8	Brasílial , Brazil
Win	2–0	Sergio Vieira	KO (punch)	Storm Samurai 6	Curitiba , Brazil
Win	1–0	Leandro Sousa	Decision	Storm Samurai 4	Curitiba , Brazil
