Game	March	Opponent	Score	Record	Points
64	1	@ Boston Bruins	3–2 OT	34–17–11–2	81
65	4	Vancouver Canucks	3–0	35–17–11–2	83
66	7	@ New York Rangers	1–5	35–18–11–2	83
67	8	Colorado Avalanche	1–2 OT	35–18–11–3	84
68	10	@ Washington Capitals	1–2 OT	35–18–11–4	85
69	13	Carolina Hurricanes	5–3	36–18–11–4	87
70	15	@ Pittsburgh Penguins	4–1	37–18–11–4	89
71	17	@ New Jersey Devils	4–2	38–18–11–4	91
72	18	@ Buffalo Sabres	2–5	38–19–11–4	91
73	20	Pittsburgh Penguins	4–2	39–19–11–4	93
74	22	New York Rangers	1–2	39–20–11–4	93
75	24	Atlanta Thrashers	6–2	40–20–11–4	95
76	25	@ Nashville Predators	1–1 OT	40–20–12–4	96
77	27	Boston Bruins	2–2 OT	40–20–13–4	97
78	29	Pittsburgh Penguins	3–0	41–20–13–4	99
79	31	@ Pittsburgh Penguins	6–1	42–20–13–4	101
