Place	Player	Country	Score	To par	Money ( $ )
1	Ben Hogan	United States	67-72-73-71=283	–5	5,000
2	Sam Snead	United States	72-69-72-76=289	+1	3,000
3	Lloyd Mangrum	United States	73-70-74-75=292	+4	1,500
T4	Pete Cooper	United States	78-75-71-70=294	+6	816
T4	Jimmy Demaret	United States	71-76-71-76=294	+6	816
T4	George Fazio	United States	70-71-77-76=294	+6	816
T7	Ted Kroll	United States	76-71-74-74=295	+7	450
T7	Dick Metz	United States	75-70-74-76=295	+7	450
T9	Marty Furgol	United States	73-74-76-73=296	+8	325
T9	Jay Hebert	United States	72-72-74-78=296	+8	325
T9	Frank Souchak (a)	United States	70-76-76-74=296	+8	0
