Rider	Bike	Laps	Time	Grid
Carlos Checa	Honda CBR1000RR	20	37:04.991	1
Troy Corser	Yamaha YZF-R1	20	+2.809	5
Michel Fabrizio	Ducati 1098 F08	20	+6.546	4
Max Neukirchner	Suzuki GSX-R1000	20	+7.764	2
Fonsi Nieto	Suzuki GSX-R1000	20	+16.475	13
Jakub Smrz	Ducati 1098 RS 08	20	+17.126	11
Karl Muggeridge	Honda CBR1000RR	20	+17.284	12
Yukio Kagayama	Suzuki GSX-R1000	20	+17.416	8
Max Biaggi	Ducati 1098 RS 08	20	+18.117	9
Ryuichi Kiyonari	Honda CBR1000RR	20	+20.467	20
Lorenzo Lanzi	Ducati 1098 RS 08	20	+21.742	15
Kenan Sofuoğlu	Honda CBR1000RR	20	+27.533	25
Gregorio Lavilla	Honda CBR1000RR	20	+32.609	23
Ruben Xaus	Ducati 1098 RS 08	20	+33.165	6
Russell Holland	Honda CBR1000RR	20	+34.182	17
Shinichi Nakatomi	Yamaha YZF-R1	20	+34.500	22
Ayrton Badovini	Kawasaki ZX-10R	20	+36.155	16
Sébastien Gimbert	Yamaha YZF-R1	20	+41.685	24
Makoto Tamada	Kawasaki ZX-10R	20	+43.579	18
Roberto Rolfo	Honda CBR1000RR	20	+54.195	28
Jason Pridmore	Honda CBR1000RR	20	+1:00.388	19
Vittorio Iannuzzo	Kawasaki ZX-10R	20	+1:02.104	21
Scott Jensen	Suzuki GSX-R1000 K8	20	+1:09.953	29
Loic Napoleone	Yamaha YZF-R1	20	+1:12.258	27
Shuhei Aoyama	Honda CBR1000RR	14	Retirement	14
David Checa	Yamaha YZF-R1	6	Retirement	26
Noriyuki Haga	Yamaha YZF-R1	5	Accident	10
Troy Bayliss	Ducati 1098 F08	4	Accident	3
Régis Laconi	Kawasaki ZX-10R	4	Retirement	7
