Team	Chairman	Head Coach	Captain	Kitmaker	Shirt sponsor
Athletic Bilbao	Josu Urrutia	Marcelo Bielsa	Carlos Gurpegui	Umbro	Petronor
Atlético Madrid	Enrique Cerezo	Diego Simeone	Antonio López	Nike	Rixos Hotels , Huawei , and Kyocera
Barcelona	Sandro Rosell	Josep Guardiola	Carles Puyol	Nike	Qatar Foundation and UNICEF
Betis	Miguel Guillén	Pepe Mel	Iriney	RBb	Cirsa
Espanyol	Ramon Condal	Mauricio Pochettino	Cristian Álvarez	Li Ning	Cancún
Getafe	Ángel Torres	Luis García Plaza	Javier Casquero	Joma	Burger King and Confremar
Granada	Quique Pina	Abel Resino	Manuel Lucena	Legea	Caja Granada
Levante	Quico Catalán	Juan Ignacio Martínez	Sergio Ballesteros	Luanvi	Comunitat Valenciana
Málaga	Sheikh Abdullah Al Thani	Manuel Pellegrini	Jesús Gámez	Nike	UNESCO
Mallorca	Jaume Cladera	Joaquín Caparrós	Nunes	Macron	bet-at-home.com
Osasuna	Patxi Izco	José Luis Mendilibar	Francisco Puñal	Astore	CAN
Racing Santander	Francisco Pernía	Álvaro Cervera	Pedro Munitis	Slam	Palacios
Rayo Vallecano	Raúl Martín	José Ramón Sandoval	Míchel	Erreà	Los Vengadores
Real Madrid	Florentino Pérez	José Mourinho	Iker Casillas	adidas	Bwin
Real Sociedad	Jokin Aperribay	Philippe Montanier	Mikel Aranburu	Nike	Gipuzkoa Euskararekin Bat
Sevilla	José María del Nido	Míchel González	Andrés Palop	Li Ning	Interwetten
Sporting de Gijón	Manuel Vega-Arango	Javier Clemente	David Barral	Kappa	Gijón / Asturias
Valencia	Manuel Llorente	Unai Emery	David Albelda	Joma	JinKO Solar, Herbalife and MSC Cruceros
Villarreal	Fernando Roig	Miguel Ángel Lotina	Marcos Senna	Xtep	Comunitat Valenciana
