Date	Visitor	Score	Home	Record	Attendance
September 27	Philadelphia Eagles	31-21	San Francisco 49ers	1-0-0	25,000
October 4	Los Angeles Rams	31-30	San Francisco 49ers	2-0-0	41,446
October 11	San Francisco 49ers	24-21	Detroit Lions	2-1-0	56,080
October 18	San Francisco 49ers	35-28	Chicago Bears	3-1-0	36,909
October 25	Detroit Lions	14-10	San Francisco 49ers	3-2-0	52,300
November 1	Chicago Bears	24-14	San Francisco 49ers	4-2-0	26,308
November 8	San Francisco 49ers	31-27	Los Angeles Rams	5-2-0	85,856
November 15	San Francisco 49ers	23-21	Cleveland Browns	5-3-0	80,698
November 22	San Francisco 49ers	37-7	Green Bay Packers	6-3-0	16,378
November 29	San Francisco 49ers	38-21	Baltimore Colts	7-3-0	26,005
December 6	Green Bay Packers	48-14	San Francisco 49ers	8-3-0	31,337
December 13	Baltimore Colts	45-14	San Francisco 49ers	9-3-0	23,932
