Position	Team	Played	Won	Drawn	Lost	Goals For	Goals Against	Goal Average 1	Points 2
1	Boston United	46	27	11	8	69	32	2.16	65
2	Wigan Athletic	46	28	8	10	96	39	2.46	64
3	Altrincham	46	26	11	9	77	34	2.26	63
4	Stafford Rangers	46	27	9	10	101	45	2.24	63
5	Scarborough	46	22	14	10	62	43	1.44	58
6	South Shields	46	25	6	15	87	48	1.81	56
7	Runcorn	46	21	14	11	72	47	1.53	56
8	Macclesfield Town	46	18	15	13	48	47	1.02	51
9	Bangor City	46	19	11	16	65	56	1.16	49
10	Gainsborough Trinity	46	18	11	17	77	64	1.20	47
11	South Liverpool	46	16	15	15	55	47	1.17	47
12	Skelmersdale United	46	16	13	17	50	59	0.85	45
13	Goole Town	46	14	15	17	60	69	0.87	43
14	Fleetwood	46	14	15	17	48	68	0.71	43
15	Northwich Victoria	46	14	13	19	68	75	0.91	41
16	Mossley	46	15	11	20	53	65	0.82	41
17	Morecambe	46	13	13	20	62	84	0.74	39
18	Buxton	46	14	10	22	45	71	0.63	38
19	Matlock Town	46	11	14	21	50	79	0.63	36
20	Great Harwood	46	10	14	22	52	74	0.70	34
21	Bradford Park Avenue	46	9	15	22	42	84	0.50	33
22	Barrow	46	13	7	26	46	94	0.49	33
23	Lancaster City	46	10	12	24	52	67	0.78	32
