Week	Date	Opponent	Result	Attendance
1	September 9, 1990	at Atlanta Falcons	L 47–27	56,222
2	September 16, 1990	at Pittsburgh Steelers	L 20–9	54,814
3	September 23, 1990	Indianapolis Colts	W 24–10	50,093
4	September 30, 1990	at San Diego Chargers	W 17–7	48,762
5	October 7, 1990	San Francisco 49ers	L 24–21	59,931
6	October 14, 1990	Cincinnati Bengals	W 48–17	53,501
7	October 21, 1990	New Orleans Saints	W 23–10	57,908
8	October 28, 1990	New York Jets	L 17–12	56,337
9	November 4, 1990	at Los Angeles Rams	L 17–13	52,628
10	Bye	Bye	Bye	Bye
11	November 18, 1990	at Cleveland Browns	W 35–23	76,726
12	November 26, 1990	Buffalo Bills	W 27–24	60,130
13	December 2, 1990	at Seattle Seahawks	L 13–10	57,592
14	December 9, 1990	Cleveland Browns	W 58–14	54,469
15	December 16, 1990	at Kansas City Chiefs	W 27–10	61,756
16	December 23, 1990	at Cincinnati Bengals	L 40–20	60,044
17	December 30, 1990	Pittsburgh Steelers	W 34–14	56,906
