Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Kevin Bird	DF	1	0	0	0	0	0	1	0
David Burke	DF	42	0	2	0	6	0	50	0
Graham Cooper	FW	3	1	0	0	0	0	3	1
David Cowling	MF	40 (1)	3	2	0	6	1	48 (1)	4
Brian Cox	GK	23	0	0	0	6	0	29	0
Steve Doyle	MF	34 (2)	2	2	0	4	0	40 (2)	2
Peter Eastoe	FW	8 (2)	0	0	0	0	0	8 (2)	0
Mel Eves	FW	7	4	0	0	0	0	7	4
Roy Greenwood	DF	1 (3)	0	0	0	0	0	1 (3)	0
Keith Hanvey	DF	9	1	2	0	0	0	11	1
Paul Jones	DF	36	7	0	0	6	2	42	9
Brian Laws	DF	31	0	0	0	5	0	36	0
Mark Lillis	MF	36 (1)	11	2	1	6	2	44 (1)	14
Keith Mason	GK	19	0	2	0	0	0	21	0
Daral Pugh	MF	19 (10)	4	2	0	1 (1)	0	24 (11)	4
Liam Robinson	FW	4 (1)	1	0	0	0	0	4 (1)	1
Colin Russell	FW	23 (2)	7	0 (1)	0	6	1	29 (3)	8
Brian Stanton	MF	33	6	1	0	6	1	40	7
Kevin Stonehouse	FW	15 (2)	4	2	2	2 (1)	0	19 (3)	6
Steve Stoutt	DF	3	0	1	0	0	0	4	0
Dave Sutton	DF	34	1	2	0	6	3	42	4
Phil Wilson	MF	41	3	2	0	6	0	49	3
