Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1958	August 10	Joe Weatherly	Holman-Moody	Ford	200	100 (160.934)	1:41:14	59.269	Report
1959	August 9	Joe Lee Johnson	Joe Lee Johnson	Chevrolet	300	150 (241.401)	2:22:05	63.343	Report
1960	August 7	Johnny Beauchamp	Dale Swanson	Chevrolet	333*	166.5 (267.955)	2:55:22	56.966	Report
1961	August 6	Jim Paschal	Julian Petty	Pontiac	403*	201.5 (324.282)	3:34:09	56.455	Report
1962	August 5	Jim Paschal	Petty Enterprises	Plymouth	500	250 (402.336)	3:52:41	64.489	Report
1963	August 4	Jim Paschal	Petty Enterprises	Plymouth	350*	175 (281.635)	2:54:38	60.126	Report
1964	August 2	Richard Petty	Petty Enterprises	Plymouth	400	200 (321.868)	2:43:55	73.208	Report
1965	July 31	Richard Petty	Petty Enterprises	Plymouth	400	200 (321.868)	2:45:47	72.383	Report
1966	July 30	Richard Petty	Petty Enterprises	Plymouth	400	200 (321.868)	2:47:11	71.77	Report
1967	July 29	Richard Petty	Petty Enterprises	Plymouth	400	200 (321.868)	2:49:20	70.866	Report
1968	July 27	David Pearson	Holman-Moody	Ford	301*	150.5 (242.206)	2:03:44	72.98	Report
1969	July 26	Richard Petty	Petty Enterprises	Ford	400	200 (321.868)	2:32:24	78.74	Report
1970	July 25	Bobby Isaac	Nord Krauskopf	Dodge	420	250.32 (402.85)	2:50:47	87.943	Report
1971	July 24	Richard Petty	Petty Enterprises	Plymouth	420	250.32 (402.85)	2:47:30	89.667	Report
1972	August 27	Bobby Allison	Richard Howard	Chevrolet	420	250.32 (402.85)	2:42:14	92.578	Report
1973	August 25	Buddy Baker	Nord Krauskopf	Dodge	420	250.32 (402.85)	2:48:12	89.31	Report
1974	July 20	Cale Yarborough	Junior Johnson & Associates	Chevrolet	420	250.32 (402.85)	3:10:40	76.368	Report
1975	July 20	Cale Yarborough	Junior Johnson & Associates	Chevrolet	420	250.32 (402.85)	2:47:16	89.792	Report
1976	July 17	Benny Parsons	L.G. DeWitt	Chevrolet	420	250.32 (402.85)	2:52:49	86.908	Report
1977	July 16	Darrell Waltrip	DiGard Motorsports	Chevrolet	420	250.32 (402.85)	3:10:09	78.999	Report
1978	July 15	Cale Yarborough	Junior Johnson & Associates	Oldsmobile	420	250.32 (402.85)	2:48:54	88.924	Report
1979	July 14	Darrell Waltrip	DiGard Motorsports	Chevrolet	420	250.32 (402.85)	2:42:51	92.227	Report
1980	July 12	Dale Earnhardt	Rod Osterlund Racing	Chevrolet	420	250.32 (402.85)	2:40:05	93.821	Report
1981	July 11	Darrell Waltrip	Junior Johnson & Associates	Buick	420	250.32 (402.85)	2:48:47	90.052	Report
1982	July 10	Darrell Waltrip	Junior Johnson & Associates	Buick	420	250.32 (402.85)	2:53:35	86.524	Report
1983	July 16	Dale Earnhardt	Bud Moore Engineering	Ford	420	250.32 (402.85)	2:55:12	85.726	Report
