Elector	Order	Title	Elevated	Elevator
Francesco Moricotti Prignani	Cardinal-bishop	Bishop of Palestrina	1378, September 18	Urban VI
Andrea Bontempi Martini	Cardinal-priest	Titulus Ss. Marcellino e Pietro	1378, September 18	Urban VI
Poncello Orsini	Cardinal-priest	Titulus S. Clemente	1378, September 18	Urban VI
Pietro Tomacelli	Cardinal-priest	Titulus S. Anastasia	1381, December 21	Urban VI
Angelo Acciaioli	Cardinal-priest	Titulus S. Lorenzo in Damaso.	1384, December 17	Urban VI
Francesco Carbone Tomacelli , O.Cist.	Cardinal-priest	Titulus S. Susanna	1384, December 17	Urban VI
Stefano Palosio	Cardinal-priest	Titulus S. Marcello.	1384, December 17	Urban VI
Tommaso Orsini dei Conti di Manupello	Cardinal-deacon	Deacon of S. Maria in Domnica	Circa 1383—1379	Urban VI
Francesco Renzio	Cardinal-deacon	Deacon of S. Eustachio	1381, December 21	Urban VI
Marino Bulcani	Cardinal-deacon	Deacon of S. Maria Nuova.	1384, December 17	Urban VI
Rinaldo Brancaccio	Cardinal-deacon	Deacon of Ss. Vito e Modesto	1384, December 17	Urban VI
Ludovico Fieschi	Cardinal-deacon	Deacon of S. Adriano	1384, December 17	Urban VI
Angelo d'Anna de Sommariva , O.Camald.	Cardinal-deacon	Deacon of S. Lucia in Septisolio	1384, December 17	Urban VI
