Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Philadelphia	2 – 5	Montreal	Biron	21,173	7–4–0
November 2	Philadelphia	3 – 2	Washington	Niittymaki	16,055	8–4–0
November 5	Philadelphia	0 – 2	NY Rangers	Biron	18,200	8–5–0
November 7	Philadelphia	3 – 1	Pittsburgh	Biron	17,132	9–5–0
November 8	Philadelphia	1 – 4	New Jersey	Biron	14,948	9–6–0
November 10	Pittsburgh	2 – 5	Philadelphia	Biron	19,859	10–6–0
November 12	NY Islanders	2 – 3	Philadelphia	Biron	19,312	11–6–0
November 15	NY Rangers	4 – 3	Philadelphia	Biron	19,571	11–6–1
November 17	New Jersey	6 – 2	Philadelphia	Biron	19,621	11–7–1
November 21	Philadelphia	6 – 3	Carolina	Biron	16,351	12–7–1
November 23	Washington	4 – 3	Philadelphia	Biron	19,727	12–7–2
November 24	Philadelphia	4 – 3	Ottawa	Niittymaki	20,128	13–7–2
November 26	Boston	6 – 3	Philadelphia	Niittymaki	19,457	13–8–2
November 28	Philadelphia	3 – 1	Carolina	Biron	15,108	14–8–2
