Driver	Constructor	Laps	Time/Retired	Grid
Alberto Ascari	Ferrari	90	2:53:35.8	1
Nino Farina	Ferrari	90	+ 10.4	3
Felice Bonetto José Froilán González	Maserati	89	+ 1 Lap	13
Mike Hawthorn	Ferrari	89	+ 1 Lap	6
Toulo de Graffenried	Maserati	88	+ 2 Laps	7
Maurice Trintignant	Gordini	87	+ 3 Laps	12
Louis Rosier	Ferrari	86	+ 4 Laps	8
Peter Collins	HWM - Alta	84	+ 6 Laps	16
Stirling Moss	Connaught - Lea-Francis	83	+ 7 Laps	9
Luigi Villoresi	Ferrari	67	Throttle	4
Kenneth McAlpine	Connaught - Lea-Francis	63	Engine	14
Harry Schell	Gordini	59	Transmission	10
Johnny Claes	Connaught - Lea-Francis	52	Not Classified	17
Juan Manuel Fangio	Maserati	36	Axle	2
Roberto Mieres	Gordini	28	Transmission	19
José Froilán González	Maserati	22	Rear Axle	5
Ken Wharton	Cooper - Bristol	19	Physical	18
Roy Salvadori	Connaught - Lea-Francis	14	Engine	11
Lance Macklin	HWM - Alta	7	Throttle	15
Source:	Source:	Source:	Source:	Source:
