Character	Fate	Actor	First Episode	Final Episode	Duration	Final Episode Count
Rick Stetler	Arrested	David Lee Smith	"Blood Brothers"	"Time Bomb"	02x01–08x23	34
Clavo Cruz	Deceased: Gunshot Wound	Gonzalo Menendez	"Blood Brothers"	"Man Down"	02x01; 03x15; 05x14–05x15	4
Judge Joseph Ratner	Arrested	William Allen Young	"After the Fall"	"Death Eminent"	03x10; 04x06; 05x05	3
Antonio Riaz	Deceased: Knife Wound	Vincent Laresca	"Rampage"	"Rio"	04x24–05x01	3
Memmo Fierro	Arrested	Robert LaSardo	"Rampage"	"Killer Regrets"	04x24–04x25; 09x04; 09x13; 10x05	5
Scott O'Shay	Free	Ed Begley Jr.	"A Grizzly Murder"	"Dead Ringer"	05x17; 05x19; 10x04; 10x05; 10x08	5
Joe LeBrock	Arrested	John Sharian	"Inside Out"	"See No Evil"	06x03; 06x07; 09x03	3
Ron Saris	Free	Kim Coates	"Ambush"	"Dissolved"	06x15-07x24	6
Ivan Sarnoff	Deceased: Gunshot Wound	Andrew Divoff	"Raging Cannibal"	"Seeing Red"	07x04–07x25	4
Darren Vogel	Free	Malcolm McDowell	"L.A."	"Habeas Corpse"	08x16; 10x18; 10x19	3
Esteban Navarro	Arrested	Kuno Becker	"Look Who's Taunting"	"Rest in Pieces"	10x04; 10x08; 10x16	3
