Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
16	December 1	Philadelphia	W 105–102 (OT)	Willie Anderson (23)	Ed Pinckney (16)	Damon Stoudamire (10)	SkyDome 19,789	6-10
17	December 3	Miami	L 94–112 (OT)	Oliver Miller (29)	Ed Pinckney (12)	Damon Stoudamire (15)	SkyDome 21,238	6-11
18	December 5	@ Seattle	L 89–119 (OT)	Tracy Murray (23)	Oliver Miller , Alvin Robertson , Žan Tabak (5)	Alvin Robertson , Damon Stoudamire (5)	KeyArena 17,072	6-12
19	December 7	@ Portland	L 88–96 (OT)	Tracy Murray (28)	Ed Pinckney (15)	Damon Stoudamire (10)	Rose Garden 20,039	6-13
20	December 8	@ L.A. Lakers	L 103–120 (OT)	Damon Stoudamire (20)	Ed Pinckney (8)	Damon Stoudamire (10)	Great Western Forum 12,982	6-14
21	December 10	@ Vancouver	W 93–81 (OT)	Damon Stoudamire (24)	Ed Pinckney (16)	Damon Stoudamire (8)	General Motors Place 17,438	7-14
22	December 12	Boston	L 96–116 (OT)	Damon Stoudamire (18)	Ed Pinckney (8)	Damon Stoudamire (9)	SkyDome 21,875	7-15
23	December 14	Indiana	L 100–102 (OT)	Oliver Miller (22)	Oliver Miller (12)	Damon Stoudamire (13)	SkyDome 19,763	7-16
24	December 15	@ Boston	L 103–122 (OT)	Žan Tabak (18)	Žan Tabak (8)	Alvin Robertson , Damon Stoudamire (7)	FleetCenter 17,580	7-17
25	December 17	Orlando	W 110–93 (OT)	Damon Stoudamire (21)	Ed Pinckney (11)	Damon Stoudamire (10)	SkyDome 25,820	8-17
26	December 19	Detroit	L 82–94 (OT)	Damon Stoudamire (19)	Oliver Miller (11)	Damon Stoudamire (8)	SkyDome 21,128	8-18
27	December 22	@ Chicago	L 104–113 (OT)	Žan Tabak (24)	Damon Stoudamire , Žan Tabak (8)	Damon Stoudamire (13)	United Center 22,987	8-19
28	December 23	@ New York	L 91–103 (OT)	Damon Stoudamire (25)	Ed Pinckney (10)	Damon Stoudamire (8)	Madison Square Garden 19,763	8-20
29	December 26	Milwaukee	W 93–87 (OT)	Damon Stoudamire (21)	Ed Pinckney (9)	Damon Stoudamire (11)	Copps Coliseum 17,242	9-20
