District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) Unopposed
Texas 3	Brady P. Gentry	Democratic	1952	Re-elected	Brady P. Gentry (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) Unopposed
Texas 5	Joseph Franklin Wilson	Democratic	1946	Retired Republican gain	Bruce R. Alger (R) 52.9% Wallace Savage (D) 47.1%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) Unopposed
Texas 7	John Dowdy	Democratic	1952	Re-elected	John Dowdy (D) Unopposed
Texas 9	Clark W. Thompson	Democratic	1947	Re-elected	Clark W. Thompson (D) Unopposed
Texas 10	Homer Thornberry	Democratic	1948	Re-elected	Homer Thornberry (D) Unopposed
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Wingate H. Lucas	Democratic	1946	Lost renomination Democratic hold	Jim Wright (D) Unopposed
Texas 13	Frank N. Ikard	Democratic	1951	Re-elected	Frank N. Ikard (D) Unopposed
Texas 14	John E. Lyle, Jr.	Democratic	1944	Retired Democratic hold	John J. Bell (D) 93.8% D. C. DeWitt (R) 6.2%
Texas 15	Lloyd Bentsen	Democratic	1948	Retired Democratic hold	Joe M. Kilgore (D) Unopposed
Texas 16	Kenneth M. Regan	Democratic	1947	Lost renomination Democratic hold	J. T. Rutherford (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
Texas 20	Paul J. Kilday	Democratic	1938	Re-elected	Paul J. Kilday (D) Unopposed
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) Unopposed
