Year	Award	Category	Nominee	Result
2007	Tony Award	Best Performance by a Leading Actor in a Musical	Michael Cerveris	Nominated
2007	Tony Award	Best Performance by a Leading Actress in a Musical	Donna Murphy	Nominated
2007	Tony Award	Best Performance by a Featured Actor in a Musical	David Pittu	Nominated
2007	Tony Award	Best Orchestrations	Jonathan Tunick	Nominated
2007	Drama Desk Award	Outstanding Musical	Outstanding Musical	Nominated
2007	Drama Desk Award	Outstanding Book of a Musical	Alfred Uhry	Nominated
2007	Drama Desk Award	Outstanding Actor in a Musical	Michael Cerveris	Nominated
2007	Drama Desk Award	Outstanding Actress in a Musical	Donna Murphy	Won
2007	Drama Desk Award	Outstanding Featured Actor in a Musical	David Pittu	Nominated
2007	Drama Desk Award	Outstanding Choreography	Patricia Birch	Nominated
2007	Drama Desk Award	Outstanding Director of a Musical	Harold Prince	Nominated
2007	Drama Desk Award	Outstanding Orchestrations	Jonathan Tunick	Won
2007	Drama Desk Award	Outstanding Set Design	Beowulf Boritt	Nominated
2007	Drama Desk Award	Outstanding Costume Design	Judith Dolan	Nominated
2007	Drama Desk Award	Outstanding Lighting Design	Howell Binkley	Nominated
2007	Drama Desk Award	Outstanding Sound Design	Duncan Robert Edwards	Nominated
