Date	Venue	Score	Result	Competition
3 July 1972	Laugardalsvöllur , Reykjavík , Iceland	2–2	5–2	Friendly
3 July 1972	Laugardalsvöllur, Reykjavík, Iceland	4–2	5–2	Friendly
27 August 1972	Drei Flüsse Stadion , Passau , Germany	1–0	3–2	1972 Summer Olympics
27 August 1972	Drei Flüsse Stadion, Passau, Germany	3–2	3–2	1972 Summer Olympics
29 August 1972	Rosenaustadion , Augsburg , Germany	2–0	4–0	1972 Summer Olympics
3 September 1974	Idrætsparken , Copenhagen, Denmark	4–0	9–0	Friendly
23 May 1976	Tsirion Stadium , Limassol , Cyprus	1–1	5–1	1978 World Cup qualification
1 May 1977	Idrætsparken, Copenhagen, Denmark	1–1	1–2	1978 World Cup qualification
15 June 1977	Idrætsparken, Copenhagen, Denmark	2–1	2–1	1972–77 Nordic Championship
20 September 1978	Idrætsparken, Copenhagen, Denmark	1–2	3–4	1980 European Championship qualification
6 June 1979	Idrætsparken, Copenhagen, Denmark	3–0	4–0	1980 European Championship qualification
21 May 1980	Idrætsparken, Copenhagen, Denmark	1–1	2–2	Friendly
19 November 1980	Idrætsparken, Copenhagen, Denmark	4–0	4–0	1982 World Cup qualification
15 April 1981	Idrætsparken, Copenhagen, Denmark	1–1	2–1	Friendly
26 August 1981	Idrætsparken, Copenhagen, Denmark	2–0	3–0	Friendly
26 August 1981	Idrætsparken, Copenhagen, Denmark	3–0	3–0	Friendly
1 June 1983	Idrætsparken, Copenhagen, Denmark	3–1	3–1	1984 European Championship qualification
21 September 1983	Wembley Stadium , London, UK	1–0	1–0	1984 European Championship qualification
12 October 1983	Idrætsparken, Copenhagen, Denmark	4–0	6–0	1984 European Championship qualification
16 November 1983	Olympic Stadium , Athens, Greece	2–0	2–0	1984 European Championship qualification
