Pick #	Player	Position	Nationality	NHL team	College/junior/club team
33	Bob Nystrom	Right Wing	Canada	New York Islanders	Calgary Centennials (WCHL)
34	Jean Lemieux	Defence	Canada	Atlanta Flames	Sherbrooke Castors (QMJHL)
35	Paul Raymer	Left Wing	Canada	Vancouver Canucks	Peterborough Petes (OMJHL)
36	Dave Hutchison	Defence	Canada	Los Angeles Kings	London Knights (OMJHL)
37	Jim McMasters	Defence	Canada	Buffalo Sabres	Calgary Centennials (WCHL)
38	Paul Shakes	Defence	Canada	California Golden Seals	St. Catharines Black Hawks (OMJHL)
39	Jim Watson	Defence	Canada	Philadelphia Flyers	Calgary Centennials (WCHL)
40	Denis Herron	Goaltender	Canada	Pittsburgh Penguins	Trois-Rivières Draveurs (QMJHL)
41	Jean Hamel	Defence	Canada	St. Louis Blues	Drummondville Rangers (QMJHL)
42	Bob Krieger	Centre	United States	Detroit Red Wings	University of Denver (WCHA)
43	Denis Deslauriers	Defence	Canada	Toronto Maple Leafs	Shawinigan Dynamos (QMJHL)
44	Terry Ryan	Centre	Canada	Minnesota North Stars	Hamilton Red Wings (OMJHL)
45	Mike Veisor	Goaltender	Canada	Chicago Black Hawks	Peterborough Petes (OMJHL)
46	Ed Gilbert	Centre	Canada	Montreal Canadiens	Hamilton Red Wings (OMJHL)
47	Gerry Teeple	Centre	Canada	New York Rangers	Cornwall Royals (QMJHL)
48	Michel Boudreau	Centre	Canada	Boston Bruins	Laval National (QMJHL)
