Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jul 14, 1986	U.S. Women's Open	–1 (74-74-70-69=287)	Playoff	Sally Little
Jul 20, 1986	Boston Five Classic	–7 (71-70-72-68=281)	1 stroke	Deb Richard
Mar 1, 1987	Women's Kemper Open	–12 (67-70-69-70=276)	Playoff	Cathy Gerring
Mar 8, 1987	GNA/Glendale Federal Classic	–2 (74-74-71-67=286)	Playoff	Robin Walton
May 24, 1987	Mazda LPGA Championship	–13 (72-68-68-67=275)	1 stroke	Betsy King
Jul 5, 1987	Jamie Farr Toledo Classic	–8 (71-73-69-67=280)	2 strokes	Jill Briles-Hinton , Nancy Taylor
Jul 19, 1987	Boston Five Classic	–11 (73-70-67-67=277)	1 stroke	Jody Rosenthal , Donna White
Jan 20, 1991	The Jamaica Classic	–6 (71-72-64=207)	3 strokes	Patty Sheehan
Jun 9, 1991	Atlantic City Classic	–8 (71-68-69=208)	1 stroke	Amy Alcott , Cindy Schreyer
Jun 6, 1993	Oldsmobile Classic	–11 (72-68-68-69=277)	1 stroke	Tammie Green , Trish Johnson , Alice Ritzman
Aug 21, 1994	Chicago Challenge	–16 (68-69-68-67=272)	3 strokes	Dale Eggeling , Robin Walton
