Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Pontevedra CF	30	41	16	9	5	44	31	+13
2	RCD Español	30	39	17	5	8	40	24	+16
3	Real Santander	30	37	15	7	8	53	39	+14
4	Real Sociedad	30	35	14	7	9	77	44	+33
5	Real Gijón	30	34	16	2	12	50	46	+4
6	RC Celta de Vigo	30	32	13	6	11	47	31	+16
7	CD Orense	30	31	14	3	13	43	37	+6
8	Deportivo Alavés	30	30	12	6	12	43	46	-3
9	SD Indauchu	30	30	11	8	11	46	42	+4
10	Burgos CF	30	29	12	5	13	39	47	-8
11	UD Salamanca	30	27	10	7	13	40	46	-6
12	CD Constancia	30	26	11	4	15	42	51	-9
13	UP Langreo	30	25	8	9	13	33	42	-9
14	Atlético Baleares	30	23	9	5	16	37	51	-14
15	CD Basconia	30	21	9	3	18	31	65	-34
16	CD Sabadell CF	30	20	8	4	18	43	66	-23
