Place	Player	Country	Score	To par
T1	Isao Aoki	Japan	68-68-68=204	–6
T1	Jack Nicklaus	United States	63-71-70=204	–6
3	Lon Hinkle	United States	66-70-69=205	–5
T4	Keith Fergus	United States	66-70-70=206	–2
T4	Mark Hayes	United States	66-71-69=206	–2
T4	Tom Watson	United States	71-68-67=206	–2
7	Craig Stadler	United States	73-67-69=209	–1
T8	Mike Morley	United States	73-68-69=210	E
T8	Lee Trevino	United States	68-73-69=210	E
T10	Bruce Devlin	Australia	71-70-70=211	+1
T10	Hubert Green	United States	73-73-65=211	+1
T10	Jay Haas	United States	67-74-70=211	+1
T10	Peter Jacobsen	United States	70-69-72=211	+1
T10	Pat McGowan	United States	69-69-73=211	+1
T10	Mike Reid	United States	69-67-75=211	+1
T10	Bill Rogers	United States	69-72-70=211	+1
