Region	Host	Venue	City	State
East	University of Miami	Knight Sports Complex	Coral Gables	Florida
East	Bowling Green State University	Anderson Arena	Bowling Green	Ohio
East	Georgetown University	McDonough Gymnasium	Washington	District of Columbia
East	University of Vermont	Patrick Gym	Burlington	Vermont
East	Western Kentucky University	E.A. Diddle Arena	Bowling Green	Kentucky
East	Pennsylvania State University	Recreation Building (Rec Hall)	University Park	Pennsylvania
East	Ohio State University	St. John Arena	Columbus	Ohio
East	University of Virginia	University Hall (University of Virginia)	Charlottesville	Virginia
Mideast	Northwestern University	Welsh-Ryan Arena	Evanston	Illinois
Mideast	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
Mideast	University of Alabama	Coleman Coliseum	Tuscaloosa	Alabama
Mideast	University of Connecticut	Harry A. Gampel Pavilion	Storrs	Connecticut
Mideast	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
Mideast	University of North Carolina	Carmichael Auditorium	Chapel Hill	North Carolina
Mideast	University of Tennessee	Thompson-Boling Arena	Knoxville	Tennessee
Mideast	Auburn University	Memorial Coliseum (Beard–Eaves–Memorial Coliseum)	Auburn	Alabama
Midwest	University of Kansas	Allen Field House	Lawrence	Kansas
Midwest	Clemson University	Littlejohn Coliseum	Clemson	South Carolina
Midwest	Missouri State University	Hammons Student Center	Springfield	Missouri
Midwest	Louisiana Tech University	Thomas Assembly Center	Ruston	Louisiana
Midwest	Vanderbilt University	Striplin Gymnasium	Nashville	Tennessee
Midwest	Stephen F. Austin University	William R. Johnson Coliseum	Nacogdoches	Texas
Midwest	University of Maryland	Cole Field House	College Park	Maryland
Midwest	University of Texas	Frank Erwin Center	Austin	Texas
West	University of California, Santa Barbara	UC Santa Barbara Events Center	Santa Barbara	California
West	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
West	University of Washington	Hec Edmundson Pavilion	Seattle	Washington
West	University of Nebraska	Bob Devaney Sports Center	Lincoln	Nebraska
West	Stanford University	Maples Pavilion	Stanford	California
West	Texas Tech University	Lubbock Municipal Coliseum	Lubbock	Texas
West	University of Southern California	Los Angeles Memorial Sports Arena	Los Angeles	California
West	University of Colorado	CU Events Center (Coors Events Center)	Boulder	Colorado
