SAR No.	Builder	Year	Works No.	Firebox	Driver Diameter
843	Baldwin	1929	60820	Narrow	63"/1600mm
844	Baldwin	1929	60821	Narrow	60"/1520mm
845	Baldwin	1929	60822	Narrow	60"/1520mm
846	Baldwin	1929	60823	Narrow	63"/1600mm
847	Baldwin	1929	60824	Narrow	60"/1520mm
848	Baldwin	1929	60825	Narrow	63"/1600mm
849	Baldwin	1929	60826	Narrow	60"/1520mm
850	Baldwin	1929	60827	Narrow	60"/1520mm
868	Hohenzollern	1928	4653	Narrow	63"/1600mm
869	Hohenzollern	1928	4654	Narrow	63"/1600mm
870	Hohenzollern	1928	4655	Narrow	60"/1520mm
871	Hohenzollern	1928	4656	Narrow	60"/1520mm
872	Hohenzollern	1928	4657	Narrow	60"/1520mm
873	Hohenzollern	1928	4658	Narrow	63"/1600mm
874	Henschel	1930	21749	Wide	63"/1600mm
875	Henschel	1930	21750	Wide	63"/1600mm
876	Henschel	1930	21751	Wide	60"/1520mm
877	Henschel	1930	21752	Wide	60"/1520mm
878	Henschel	1930	21753	Wide	63"/1600mm
