Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Ron Sutter	Center	Canada	Lethbridge Broncos ( WHL )
3	Miroslav Dvorak	Defense	Czech Republic	HC České Budějovice (CZE)
3	Bill Campbell	Defense	Canada	Montreal Juniors ( QMJHL )
4	Michael Hjalm	Wing	Sweden	Modo Hockey ( Elitserien )
5	Todd Bergen	Forward	Canada	Prince Albert Raiders ( SJHL )
6	Ron Hextall	Goaltender	Canada	Brandon Wheat Kings (WHL)
7	Dave Brown	Forward	Canada	Saskatoon Blades (WHL)
8	Alain Lavigne	Right Wing	Canada	Shawinigan Cataractes (QMJHL)
9	Magnus Roupe	Left Wing	Sweden	Färjestad BK (Elitserien)
10	Tom Allen	Goaltender	United States	Michigan Tech Huskies ( WCHA )
11	Rick Gal	Forward	Canada	Lethbridge Broncos (WHL)
12	Mark Vichorek	Defense	United States	Sioux City Musketeers ( USHL )
