Rank	Nation	Gold	Silver	Bronze	Total
1	United States	28	18	19	65
2	Sweden	19	12	10	41
3	Finland	11	16	13	40
4	England	5	2	4	11
5	Australia	5	1	3	9
6	South Korea	4	7	11	22
7	Chinese Taipei	4	1	2	7
8	Mexico	3	7	7	17
9	Netherlands	3	2	5	10
10	Germany	2	5	8	15
=11	Canada	2	3	1	6
=11	Philippines	2	3	1	6
13	Belgium	2	3	0	5
14	Singapore	2	2	0	4
15	Venezuela	1	3	6	10
16	Norway	1	3	4	8
17	Malaysia	1	2	2	5
18	France	1	1	4	6
19	Colombia	1	1	2	4
20	Puerto Rico	1	1	0	2
21	Qatar	1	0	1	2
22	Japan	0	5	2	7
23	Denmark	0	1	1	2
24	United Arab Emirates	0	0	3	3
=25	Guam	0	0	1	1
=25	Italy	0	0	1	1
=25	Kuwait	0	0	1	1
