Game	December	Opponent	Score	Record	Points
24	2	New Jersey Devils	0–1 OT	11–6–6–1	29
25	5	New York Rangers	3–2 OT	12–6–6–1	31
26	7	St. Louis Blues	1–3	12–7–6–1	31
27	10	@ Florida Panthers	5–2	13–7–6–1	33
28	12	Toronto Maple Leafs	2–1	14–7–6–1	35
29	14	Buffalo Sabres	2–0	15–7–6–1	37
30	17	Dallas Stars	2–2 OT	15–7–7–1	38
31	18	@ Atlanta Thrashers	3–1	16–7–7–1	40
32	21	Ottawa Senators	1–3	16–8–7–1	40
33	23	@ Ottawa Senators	2–2 OT	16–8–8–1	41
34	27	@ Colorado Avalanche	2–1 OT	17–8–8–1	43
35	28	@ Phoenix Coyotes	0–4	17–9–8–1	43
36	30	@ San Jose Sharks	1–2	17–10–8–1	43
