State	Interview	Swimsuit	Evening Gown	Average
Alabama	8.56	8.40	9.06	8.673
Alaska	8.43	7.23	8.39	8.017
Arizona	8.69	8.03	8.14	8.287
Arkansas	8.67	8.33	8.47	8.490
California	8.98	8.83	8.76	8.857
Colorado	8.60	7.96	8.83	8.463
Connecticut	8.54	8.01	7.99	8.180
Delaware	8.49	8.23	8.37	8.363
District of Columbia	8.79	8.23	8.46	8.493
Florida	8.26	8.87	8.69	8.607
Georgia	8.81	8.96	9.14	8.967
Hawaii	8.93	7.96	8.57	8.487
Idaho	8.81	8.16	8.23	8.400
Illinois	8.51	8.09	7.93	8.177
Indiana	9.70	9.01	9.15	9.288
Iowa	8.74	8.79	8.21	8.580
Kansas	9.12	9.14	9.00	9.085
Kentucky	8.96	8.43	7.97	8.453
Louisiana	9.03	9.16	9.11	9.100
Maine	8.66	7.64	8.04	8.113
Maryland	9.36	8.29	8.14	8.597
Massachusetts	9.14	9.04	8.93	9.036
Michigan	8.34	8.14	8.20	8.227
Minnesota	8.75	8.30	8.47	8.507
Mississippi	8.84	8.59	8.48	8.637
Missouri	9.39	8.54	8.72	8.883
Montana	8.52	7.49	7.50	7.837
Nebraska	8.54	7.84	8.21	8.197
Nevada	8.65	8.31	8.29	8.417
New Hampshire	9.54	9.07	9.07	9.229
New Jersey	9.09	8.16	8.38	8.543
New Mexico	8.70	8.65	8.91	8.753
New York	9.00	8.06	7.99	8.350
North Carolina	9.49	8.98	8.97	9.147
North Dakota	9.20	8.59	8.86	8.883
Ohio	8.28	9.00	8.59	8.623
Oklahoma	8.73	8.96	9.20	8.964
Oregon	9.13	7.80	8.01	8.313
Pennsylvania	8.64	7.71	8.22	8.190
Rhode Island	8.91	8.96	8.71	8.864
South Carolina	8.85	8.06	8.03	8.313
South Dakota	8.59	8.04	8.15	8.248
Tennessee	8.83	8.56	8.94	8.777
Texas	9.29	8.85	8.75	8.964
Utah	8.27	7.78	7.90	7.983
Vermont	8.49	7.74	7.99	8.073
Virginia	8.99	8.47	8.18	8.547
Washington	8.55	7.90	7.57	8.007
West Virginia	8.23	8.59	8.66	8.493
Wisconsin	8.27	8.05	7.69	8.003
Wyoming	7.80	7.36	7.26	7.473
