Frequency	Call sign	Format	Owner	Notes
FM 92.5	CKAJ-FM	community / oldies	La Radio communautaire du Saguenay	French
FM 93.7	CBJ-FM	news / talk	Canadian Broadcasting Corporation	French
FM 94.5	CJAB-FM	contemporary hit radio	Astral Media	French
FM 95.7	CKYK-FM	modern rock	RNC Media	French
FM 96.9	CFIX-FM	soft adult contemporary	Astral Media	French
FM 98.3	CKRS-FM	mainstream rock	Radio Saguenay Inc.	French
FM 99.7	CKAJ-FM-1	community / oldies	La Radio communautaire du Saguenay	French , serves borough of La Baie
FM 100.9	CBJX-FM	public music	Canadian Broadcasting Corporation	French
FM 102.7	CBJE-FM	news / talk	Canadian Broadcasting Corporation	English ; rebroadcasts CBVE-FM, Quebec City
FM 105.5	CKGS-FM	hot adult contemporary	9202-1617 Québec Inc.	French
FM 106.7	CION-FM-2	Christian radio	Fondation Radio-Galilée	French
