Game	January	Opponent	Score	Decision	Location/Attendance	Record
38	1	Boston Bruins	7-6 (SO)	Miller	HSBC Arena/18,690	16-18-4
39	4	@ Colorado Avalanche	3-4 (OT)	Miller	Pepsi Center/12,548	16-18-5
40	6	@ San Jose Sharks	3-0	Miller	HP Pavilion/17,562	17-18-5
41	8	@ Phoenix Coyotes	2-1	Miller	Jobing.com Arena/13,905	18-18-5
42	11	Philadelphia Flyers	2-5	Miller	HSBC Arena/18,155	18-19-5
43	13	Carolina Hurricanes	3-2	Miller	HSBC Arena/18,276	19-19-5
44	15	@ New York Islanders	3-5	Miller	Nassau Veterans Memorial Coliseum/12,223	19-20-5
45	18	Montreal Canadiens	4-2	Miller	HSBC Arena/17,565	20-20-5
46	20	@ Boston Bruins	2-1 (OT)	Miller	TD Garden/18,225	21-20-5
47	21	New York Islanders	2-5	Lalime	HSBC Arena/18,690	21-21-5
48	23	@ New York Islanders	5-3	Miller	Nassau Veterans Memorial Coliseum/10,120	22-21-5
