Place	Player	Country	Score	To par	Money ( $ )
1	Herman Keiser	United States	69-68-71-74=282	–6	2,500
2	Ben Hogan	United States	74-70-69-70=283	–5	1,500
3	Bob Hamilton	United States	75-69-71-72=287	–1	1,000
T4	Jimmy Demaret	United States	75-70-71-73=289	+1	683
T4	Jim Ferrier	Australia	74-72-68-75=289	+1	683
T4	Ky Laffoon	United States	74-73-70-72=289	+1	683
T7	Chick Harbert	United States	69-75-76-70=290	+2	356
T7	Clayton Heafner	United States	74-69-71-76=290	+2	356
T7	Byron Nelson	United States	72-73-71-74=290	+2	356
T7	Sam Snead	United States	74-75-70-71=290	+2	356
