Vehicle Flight #	Date	Pilot	Mach	Velocity (km/h)	Altitude (ft)	Duration
M2-F3 #1	June 2, 1970	Dana	0.688	755	45,000	00:03:38
M2-F3 #2	July 21, 1970	Dana	0.660	708	45,000	00:03:48
M2-F3 #3	November 2, 1970	Dana	0.630	690	45,000	00:03:56
M2-F3 #4	November 25, 1970	Dana	0.809	859	51,900	00:06:17
M2-F3 #5	February 9, 1971	Gentry	0.707	755	45,000	00:04:01
M2-F3 #6	February 26, 1971	Dana	0.773	821	45,000	00:05:48
M2-F3 #7	July 23, 1971	Dana	0.930	988	60,500	00:05:53
M2-F3 #8	August 9, 1971	Dana	0.974	1,035	62,000	00:06:55
M2-F3 #9	August 25, 1971	Dana	1.095	1,164	67,300	00:06:30
M2-F3 #10	September 24, 1971	Dana	0.728	772	42,000	00:03:30
M2-F3 #11	November 15, 1971	Dana	0.739	784	45,000	00:03:35
M2-F3 #12	December 1, 1971	Dana	1.274	1,357	70,800	00:06:31
M2-F3 #13	December 16, 1971	Dana	0.811	861	46,800	00:07:31
M2-F3 #14	July 25, 1972	Dana	0.989	1,049	60,900	00:07:00
M2-F3 #15	August 11, 1972	Gentry	1.101	1,168	67,200	00:06:15
M2-F3 #16	August 24, 1972	Dana	1.266	1,344	66,700	00:06:16
M2-F3 #17	September 12, 1972	Dana	0.880	935	46,000	00:06:27
M2-F3 #18	September 27, 1972	Dana	1.340	1,424	66,700	00:06:07
M2-F3 #19	October 5, 1972	Dana	1.370	1,455	66,300	00:06:16
M2-F3 #20	October 19, 1972	Manke	0.905	961	47,100	00:05:59
M2-F3 #21	November 1, 1972	Manke	1.213	1,292	71,300	00:06:18
M2-F3 #22	November 9, 1972	Powell	0.906	961	46,800	00:06:04
M2-F3 #23	November 21, 1972	Manke	1.435	1,524	66,700	00:06:17
M2-F3 #24	November 29, 1972	Powell	1.348	1,432	67,500	00:05:57
M2-F3 #25	December 6, 1972	Powell	1.191	1,265	68,300	00:05:32
M2-F3 #26	December 13, 1972	Dana	1.613	1,712	66,700	00:06:23
M2-F3 #27	December 20, 1972	Manke	1.294	1,378	71,500	00:06:30
